dataset,query_id,table_id,gold_row,gold_col,header_path_len,chunk_id,path_elems_present,partial_ratio,full_coverage,chunk_token_len
hitab,d2d902e834b68c1b2e7871dddf8a0586,64_2_nsf21324-tab002,18,0,3,64_2_nsf21324-tab002::fixed1024::0,3,1.0,True,965
hitab,b8ae0f24a54fae509edc65d5f4e207b0,2754,4,5,4,2754::fixed1024::0,4,1.0,True,505
hitab,617f1517c1a6fd02ee5b064439a73ab4,1573,5,0,4,1573::fixed1024::0,4,1.0,True,634
hitab,76958999926314d82b80a5b39f21ed76,1026,29,3,5,1026::fixed1024::1,2,0.4,False,241
hitab,e34c049089fabd33194a94db16954444,531,6,0,4,531::fixed1024::0,4,1.0,True,192
hitab,eb617b6ce800ccb090b32db8eebc356f,1818,1,0,4,1818::fixed1024::0,4,1.0,True,269
hitab,bdf09727a0ffe229012f5eafaafc180a,366,13,0,4,366::fixed1024::0,4,1.0,True,675
hitab,1192d614bf1dd4623f7bc667b6696f24,1614,13,0,3,1614::fixed1024::0,3,1.0,True,331
hitab,28275e7f9a11bcca3d60f2eb05a41155,2749,11,1,4,2749::fixed1024::0,4,1.0,True,283
hitab,60688a60ccb36a268a7b08226cb0b405,917,17,0,4,917::fixed1024::0,4,1.0,True,899
hitab,e60a43b8ed314479f6f52c3639b54237,153_72_tab5,0,0,2,153_72_tab5::fixed1024::0,2,1.0,True,1024
hitab,bf80fdbf0af95a553dceabf31244765a,2306,0,0,4,2306::fixed1024::0,4,1.0,True,77
hitab,7dffa6b7950a331f5c2d5d8a93923804,1617,9,0,4,1617::fixed1024::0,4,1.0,True,330
hitab,aef1f627514c4328576f110f321c0025,2498,3,1,3,2498::fixed1024::0,3,1.0,True,111
hitab,eeef251fc74a9f287fede543f2e744eb,2311,0,1,3,2311::fixed1024::0,3,1.0,True,309
hitab,9bc258621bba0b04370f12805b3c89a9,2320,4,2,5,2320::fixed1024::0,5,1.0,True,759
hitab,d3dcd00897289a3bce2fb5ba859d790f,1818,7,3,4,1818::fixed1024::0,4,1.0,True,269
hitab,eca0f7c2ced6970e4ff0139eb71dc957,742,14,1,4,742::fixed1024::0,4,1.0,True,750
hitab,6db73178d8ccea35e78f8b898c2f4ab5,2468,9,0,3,2468::fixed1024::0,3,1.0,True,579
hitab,548520bed9d8e2cbd9f2e0d7d6b69ecd,2410,10,0,3,2410::fixed1024::0,3,1.0,True,616
hitab,e7ce5b12b2b9bc03eda39079dde124b4,407_totto47327-3,5,13,6,407_totto47327-3::fixed1024::0,6,1.0,True,748
hitab,170fb963c4d4392335ec1cffa3c88f1e,2003,24,4,3,2003::fixed1024::0,3,1.0,True,1024
hitab,ce2b4ea8d0c5a41c0e154a50550e61f7,2754,0,4,4,2754::fixed1024::0,4,1.0,True,505
hitab,1451000239cc521389bba4e4b3905b0d,2092,2,4,6,2092::fixed1024::0,6,1.0,True,370
hitab,8ccb0493cde0dff9a17cc6911b8cbb8a,989,0,2,4,989::fixed1024::0,4,1.0,True,450
hitab,b6ffa1b016b3950ff6de5f10b6262ddd,2643,3,2,2,2643::fixed1024::0,2,1.0,True,597
hitab,326dc5a073a8cba46c99fff13e2e2bcc,1782,24,13,3,1782::fixed1024::1,1,0.3333333333333333,False,825
hitab,ca74a89d29c24b95c34c73bfce4e4b37,235_totto26747-1,14,8,4,235_totto26747-1::fixed1024::0,4,1.0,True,554
hitab,5e46971f28d0acd880fb0402eb154f2e,2306,0,3,4,2306::fixed1024::0,4,1.0,True,77
hitab,951d002a7377bd8f3e802b3f9a6da824,919,11,0,4,919::fixed1024::0,4,1.0,True,447
hitab,aebee6af6e7f7edb4c672f7483723597,190_89_tab3,0,0,2,190_89_tab3::fixed1024::0,2,1.0,True,331
hitab,06c98863303d7c49789fcb592f610f02,2754,7,5,4,2754::fixed1024::0,4,1.0,True,505
hitab,149b4273688ab49ee5e77bef2dc9aa31,917,13,0,4,917::fixed1024::0,4,1.0,True,899
hitab,beefad91459178ea2e67ff5b80a3dd45,593_totto68418-4,15,5,4,593_totto68418-4::fixed1024::0,4,1.0,True,515
hitab,5af17d37251d60d7a72b0703f2d36f2f,247,9,0,5,247::fixed1024::0,5,1.0,True,524
hitab,8003f19c0c8bedb50e3f9c741cbacbec,914,15,0,5,914::fixed1024::0,5,1.0,True,681
hitab,0df691e32f7d7ca783ba5083af7f3990,45,1,0,3,45::fixed1024::0,3,1.0,True,143
hitab,93b0e7828ea9efac167bb4f4bdd018cf,2306,1,1,4,2306::fixed1024::0,4,1.0,True,77
hitab,4cf8036d6ebe3752c1a3b9ced4fedfd0,47_totto5251-0,17,11,3,47_totto5251-0::fixed1024::0,3,1.0,True,696
hitab,699496312269c521ee98824a92715ad3,418_totto48407-4,12,1,3,418_totto48407-4::fixed1024::0,3,1.0,True,329
hitab,cad0ee7627430d8414ee7bf56e6bc95e,129_62_np16-ib-19308-tab003,7,0,4,129_62_np16-ib-19308-tab003::fixed1024::0,4,1.0,True,992
hitab,35d6d66234f03387df7a06d75e9e9964,1341,13,6,3,1341::fixed1024::0,3,1.0,True,605
hitab,44f525082e5b2dfbc77c9b04be097d7b,1719,4,3,5,1719::fixed1024::0,5,1.0,True,946
hitab,12fcd3c5dcdf284a037855b267f74313,1956,34,1,3,1956::fixed1024::0,3,1.0,True,732
hitab,30ea52938bfbd4eeb3b5610a6cfba7e4,1304,2,0,4,1304::fixed1024::0,4,1.0,True,722
hitab,2d9f87fcd3c25de1f6a84950a46cbc75,1725,4,7,5,1725::fixed1024::0,5,1.0,True,621
hitab,d656a55289776967ab5e9111dec6c5fe,2368,2,0,2,2368::fixed1024::0,2,1.0,True,98
hitab,5d6963db59d562d501f2c4d142cc002f,123,4,7,3,123::fixed1024::0,3,1.0,True,679
hitab,334a684e4499f93a1b78aa2a2ce22e41,36_155_tab3,5,7,4,36_155_tab3::fixed1024::0,4,1.0,True,486
hitab,1a8a4b963724b30a73fc01eb2942cc58,2809,30,4,4,2809::fixed1024::0,4,1.0,True,884
hitab,f3affd0711de1fa0474a801f99765587,192_90_tab1,0,4,3,192_90_tab1::fixed1024::0,3,1.0,True,467
hitab,8603aadace983f50beb21930387a2342,2332,3,0,3,2332::fixed1024::0,3,1.0,True,1024
hitab,adea4e179b9f5cf0bed6a6dcf22a891e,1719,0,4,3,1719::fixed1024::0,3,1.0,True,946
hitab,6cba0aae429b838da43fd85243478410,2003,4,4,3,2003::fixed1024::0,3,1.0,True,1024
hitab,9f720a6725427d09b65ffaa23d23f5fd,742,25,4,4,742::fixed1024::0,4,1.0,True,750
hitab,3972965503a21bf7686c01b351d69547,875,4,0,3,875::fixed1024::0,3,1.0,True,234
hitab,b160c973278a37bda23f623a9cca8f2b,2728,10,5,4,2728::fixed1024::0,4,1.0,True,1024
hitab,cc8d27fabf0eaf7e51564a0d6ac5e429,919,11,4,4,919::fixed1024::0,4,1.0,True,447
hitab,b490e86698ea52bec432fd2c062eded2,49_164_tab2,17,4,6,49_164_tab2::fixed1024::0,6,1.0,True,756
hitab,aec1f0a6ebc749db47196251db6d8e79,2658,12,0,5,2658::fixed1024::0,5,1.0,True,299
hitab,0acdde4aedbffec44df6917cfbb5f630,1617,9,2,4,1617::fixed1024::0,4,1.0,True,330
hitab,2090220fa67a1f136372f5f8f0c32d31,1614,19,0,3,1614::fixed1024::0,3,1.0,True,331
hitab,755aa7865b5187e0390c906e34d35537,1916,4,1,5,1916::fixed1024::0,5,1.0,True,1024
hitab,08de9f0bb7079f4ef67389e2eaada0ca,2311,1,3,4,2311::fixed1024::0,4,1.0,True,309
hitab,067b9f7073a004a9fc8e8847a3b30992,914,20,3,5,914::fixed1024::0,5,1.0,True,681
hitab,03e2e33b61115022766eba43568f2a2d,361_totto40968-1,7,9,4,361_totto40968-1::fixed1024::0,4,1.0,True,470
hitab,26ad31bf18ac8c6c0af67ad556eafdcc,1304,1,0,4,1304::fixed1024::0,4,1.0,True,722
hitab,db2f759d0de184356f64bc09c6868720,1724,3,3,5,1724::fixed1024::0,5,1.0,True,275
hitab,674d7c9874db44db7a13babd2bcb9b54,914,17,0,5,914::fixed1024::0,5,1.0,True,681
hitab,e92bb7095157dc83d89eb92bb4e91fea,576_totto65983-0,12,5,4,576_totto65983-0::fixed1024::0,4,1.0,True,341
hitab,9f97af7cd57e8c105e5741cb10aa2800,146,1,0,5,146::fixed1024::0,5,1.0,True,473
hitab,029ab80aefcd0a404f81d6c8734b11fb,2306,0,1,4,2306::fixed1024::0,4,1.0,True,77
hitab,93c750ff9b37050b550d4dd8d47d3946,1304,8,0,4,1304::fixed1024::0,4,1.0,True,722
hitab,33060220675ec142c2b257793612ff5e,2212,10,2,3,2212::fixed1024::0,3,1.0,True,241
hitab,ed08373fbbfed3c2f31cb67dcc5b160f,487,33,0,4,487::fixed1024::1,3,0.75,False,953
hitab,7e4da6a71da41b2effcf6c4501d868bb,917,29,0,4,917::fixed1024::0,4,1.0,True,899
hitab,520a78967d86c1f80b0400acfee1183b,763,9,0,4,763::fixed1024::0,4,1.0,True,258
hitab,299549e7d81f0f49ff9d54438144ccb0,1256,0,1,3,1256::fixed1024::0,3,1.0,True,1024
hitab,8fc3195ecd85405526477719f49b8a74,2754,1,7,4,2754::fixed1024::0,4,1.0,True,505
hitab,ab061c7fbd09da8ac94859a28b337a50,2003,3,9,3,2003::fixed1024::0,3,1.0,True,1024
hitab,bbe63aa742a7dc8f63e9b4f84612659d,476_totto54236-2,3,4,4,476_totto54236-2::fixed1024::0,4,1.0,True,352
hitab,d7f6b1b1902066b84d5c3be2675b84d2,380,24,1,3,380::fixed1024::0,3,1.0,True,539
hitab,9c20efcc80fa7e705844d2a4ec8d6250,1782,23,13,3,1782::fixed1024::1,1,0.3333333333333333,False,825
hitab,e7dcebf9351a8c266d929e753b8ceafb,245,6,6,4,245::fixed1024::0,4,1.0,True,578
hitab,583a12f2bdb921caf400cb1b8492bf73,2368,1,0,2,2368::fixed1024::0,2,1.0,True,98
hitab,e1a4ba4e1752f73310fb686aff39ce20,247_totto28046-2,4,3,4,247_totto28046-2::fixed1024::0,4,1.0,True,526
hitab,b4c38d41c50e44e93a10fdab14c7fdea,2314,1,1,5,2314::fixed1024::0,5,1.0,True,703
hitab,c727cafaa221db439e9c92f192b0e5db,1012,10,1,4,1012::fixed1024::0,4,1.0,True,1024
hitab,f6a44e7a26ac8f6ed0eb90f8ceb56883,553_totto63480-3,0,0,4,553_totto63480-3::fixed1024::0,4,1.0,True,195
hitab,27459204396c30149478c43d82359551,2754,1,4,4,2754::fixed1024::0,4,1.0,True,505
hitab,ea344a48c28c0cb8f43bb4a65fbf6468,446,0,0,4,446::fixed1024::0,4,1.0,True,389
hitab,b60b027c9233800a2a910e05d35c7ba6,455_totto52379-0,17,4,4,455_totto52379-0::fixed1024::0,4,1.0,True,674
hitab,be666f3369567deb933898aba087265e,914,17,3,5,914::fixed1024::0,5,1.0,True,681
hitab,7c1faea02da50e0d14a0e7516a158e31,1539,6,5,4,1539::fixed1024::0,4,1.0,True,796
hitab,ef29cf4ba0a3ae1f6352d0cce1f21c64,123,2,8,3,123::fixed1024::0,3,1.0,True,679
hitab,2ba11723b43af1fedb02997b43e9cdfe,1643,13,4,3,1643::fixed1024::0,3,1.0,True,347
hitab,345983df983db347b8fcd98f198f5b5b,307,4,1,5,307::fixed1024::0,5,1.0,True,175
hitab,78ed12d1b5a49d6e73683ccc53bf6005,917,27,0,4,917::fixed1024::0,4,1.0,True,899
hitab,a385bf23e4c37cbd13a6293740fd09c9,919,10,1,4,919::fixed1024::0,4,1.0,True,447
hitab,5ba479acfa3d3c71da5c6d3a3941122f,2754,8,7,4,2754::fixed1024::0,4,1.0,True,505
hitab,c556bc82222994bbdb1c3477e6bdc8ad,2013,10,5,4,2013::fixed1024::0,4,1.0,True,334
hitab,4048c3ca8420de38e811bdfbb7f2cfc3,509_totto58275-2,0,1,4,509_totto58275-2::fixed1024::0,4,1.0,True,1024
hitab,f3fd30abb748a46e42396bb6fbebbad3,919,9,1,4,919::fixed1024::0,4,1.0,True,447
hitab,ef4d0dfdf893f36cc3032e13111ce8ac,2540,39,7,3,2540::fixed1024::1,1,0.3333333333333333,False,606
hitab,622bd3c5863ca5f7427650516080909d,366,10,0,4,366::fixed1024::0,4,1.0,True,675
hitab,cd8bef0a3cb050d56a6052f96f71acbe,245,3,6,3,245::fixed1024::0,3,1.0,True,578
hitab,cac065d15b460c5a970f40a6b0ca0828,424_totto49007-2,2,0,4,424_totto49007-2::fixed1024::0,4,1.0,True,605
hitab,6226f5393bdbb35e40eadad80a962b26,1341,13,1,3,1341::fixed1024::0,3,1.0,True,605
hitab,92b3542b7710b6a362c969a44aa9b980,372_totto42821-0,2,0,4,372_totto42821-0::fixed1024::0,4,1.0,True,481
hitab,eb7910c770a2fe3e7c8917319f91ca22,246_totto27940-4,16,8,3,246_totto27940-4::fixed1024::0,3,1.0,True,593
hitab,d48d4a4ffbc9d6782363009896d6e047,1719,7,7,4,1719::fixed1024::0,4,1.0,True,946
hitab,a969c4c121f80c45def1ff7bcba1dda0,595_totto68622-2,6,3,4,595_totto68622-2::fixed1024::0,4,1.0,True,561
hitab,5de1236708622cb6058f13da6db43dd6,2696,1,2,5,2696::fixed1024::0,5,1.0,True,625
hitab,23a5e84ec86c6f9ba49875d603435394,2318,5,1,5,2318::fixed1024::0,5,1.0,True,309
hitab,66c19d2ef7ae35fd9df50afc6cc80f64,763,13,0,3,763::fixed1024::0,3,1.0,True,258
hitab,b9b468aa8159983571a6f56899d96376,36_155_tab3,0,7,3,36_155_tab3::fixed1024::0,3,1.0,True,486
hitab,2802b5a96c112c97d86cf16d30653006,1539,2,5,4,1539::fixed1024::0,4,1.0,True,796
hitab,4fcfdd18337be90c240b7ac0666767d9,2401,21,1,4,2401::fixed1024::0,4,1.0,True,703
hitab,283638cb5bf80393bfe716e963facf8a,2301,1,1,5,2301::fixed1024::0,5,1.0,True,130
hitab,9ad9ec4d497f7cc3753d06c318e36f72,344,13,3,4,344::fixed1024::0,4,1.0,True,319
hitab,666cd91545c728a838b85d1c990085c4,547,7,5,4,547::fixed1024::0,4,1.0,True,512
hitab,449a8b51c249db64904aa19eea1ba880,307,1,3,5,307::fixed1024::0,5,1.0,True,175
hitab,643ada2db659a2167c1d1715c566c425,245,5,6,4,245::fixed1024::0,4,1.0,True,578
hitab,c252f256817054b52a9c602182bbd0c1,2332,0,0,3,2332::fixed1024::0,3,1.0,True,1024
hitab,c2594da43e44e87d4aa47c5830292fac,45,1,1,3,45::fixed1024::0,3,1.0,True,143
hitab,dabdb2059755352f0a66e6f558e97598,344,0,1,3,344::fixed1024::0,3,1.0,True,319
hitab,9021df2675eb97f25e42935f966e27b8,702,0,4,3,702::fixed1024::0,3,1.0,True,811
hitab,f7b774c17b6ed309edf85fdbb335fb0d,2123,1,4,4,2123::fixed1024::0,4,1.0,True,323
hitab,6dbe840ded18b64194f68e7114b718d7,2549,10,3,5,2549::fixed1024::0,5,1.0,True,527
hitab,1b2c4ef824ff07feb381ca7083a325b7,1539,4,5,4,1539::fixed1024::0,4,1.0,True,796
hitab,4c59715695ba0dac8561b2776ca87437,1804,0,1,3,1804::fixed1024::0,3,1.0,True,228
hitab,fcf7b9251fecad9c9542ac6f62808a13,914,19,0,5,914::fixed1024::0,5,1.0,True,681
hitab,c4a0e51eabe0ba94c9178bd53726ddc5,2552,1,3,5,2552::fixed1024::0,5,1.0,True,311
hitab,4b8d9ee4d3737f992b33d4f7793c660e,1304,5,0,4,1304::fixed1024::0,4,1.0,True,722
hitab,aa2f6fea32393f69576a845c21d5485f,2003,2,7,3,2003::fixed1024::0,3,1.0,True,1024
hitab,39f998b7de4f39f47ba1a50b730f1be4,912,1,0,3,912::fixed1024::0,3,1.0,True,76
hitab,dfa1f9b5d64d57549ff633f247ac53a5,2549,9,6,5,2549::fixed1024::0,5,1.0,True,527
hitab,c0d6edf86c9fff9ed606a147bcf3cf4d,1643,13,3,3,1643::fixed1024::0,3,1.0,True,347
hitab,710e244baf6b09d03a4a855886f8aff1,169_84_tab1,3,3,2,169_84_tab1::fixed1024::0,2,1.0,True,446
hitab,41f4ec5aabf734bc1f5ed3cbcb420d3f,2003,7,7,3,2003::fixed1024::0,3,1.0,True,1024
hitab,152551f84211087117c5901e9e3771fc,248_totto28136-4,5,6,4,248_totto28136-4::fixed1024::0,4,1.0,True,636
hitab,438cb6df65a74921dabcdd055dedd799,2786,25,0,4,2786::fixed1024::0,4,1.0,True,963
hitab,31aec6b8107e834c5e03b2ba21778c39,126,0,2,3,126::fixed1024::0,3,1.0,True,577
hitab,75835b2c19be1b73835188ef5ab9dc77,149_totto17946-2,13,2,6,149_totto17946-2::fixed1024::0,6,1.0,True,794
hitab,619a427e5c56a54e83a8178ec5696027,1497,2,2,4,1497::fixed1024::0,4,1.0,True,1024
hitab,c34495a1296a65d386edfa9b1946465e,2607,0,1,3,2607::fixed1024::0,3,1.0,True,130
hitab,5963566e6cb45f61d99f51d21b35df8b,1725,14,3,5,1725::fixed1024::0,5,1.0,True,621
hitab,03bfe6dc7b9a827ef12b84cbb8b6cfdd,874,8,0,3,874::fixed1024::0,3,1.0,True,321
hitab,1d54db9f301f7f8e5369d45661c46d69,247,6,0,4,247::fixed1024::0,4,1.0,True,524
hitab,1477d2450da6aa104666af351a9194da,14_117_tab1,0,4,2,14_117_tab1::fixed1024::0,2,1.0,True,1024
hitab,9d5c9e3df2855a7cb80c33a9c59771b4,2092,3,4,6,2092::fixed1024::0,6,1.0,True,370
hitab,c8c43ce6b8adb6b82132b835419c20f7,8_totto975-4,10,0,5,8_totto975-4::fixed1024::0,5,1.0,True,363
hitab,24a9d293627dc157aae3a1fe8826f31e,595_totto68622-2,6,4,4,595_totto68622-2::fixed1024::0,4,1.0,True,561
hitab,7ab3bf7e94abc4299471b28709a043e5,478,15,1,4,478::fixed1024::0,4,1.0,True,1024
hitab,5790fd1adbe44444fb6e5b1a2667916f,207_totto24235-2,0,9,6,207_totto24235-2::fixed1024::0,6,1.0,True,787
hitab,7f29ae6dd94d75149fd0b37dee2a06ce,192_90_tab1,0,7,3,192_90_tab1::fixed1024::0,3,1.0,True,467
hitab,cc96e8c36742e4e0c115d4980eb12484,2540,39,1,3,2540::fixed1024::1,1,0.3333333333333333,False,606
hitab,7881d82dc708ae9370f1a06d421c2d70,2549,10,6,5,2549::fixed1024::0,5,1.0,True,527
hitab,815a208c93ad88cc03d26eacf65fefdd,1561,12,1,4,1561::fixed1024::0,4,1.0,True,310
hitab,a8041ffd8f3c5f2cdabc84315f53c273,2092,3,1,6,2092::fixed1024::0,6,1.0,True,370
hitab,0b64eb9f37e41408b4c20f5c6af9d670,2013,10,6,4,2013::fixed1024::0,4,1.0,True,334
hitab,e337630f64995841fd017bc5071a681c,403_totto46695-3,7,7,3,403_totto46695-3::fixed1024::0,3,1.0,True,595
hitab,ebf6adf922c6d2754fdbba48eff142b1,1186,3,2,3,1186::fixed1024::0,3,1.0,True,205
hitab,28a93f856d091d75fd04dcd8ff6a4173,2754,1,5,4,2754::fixed1024::0,4,1.0,True,505
hitab,7c13089d813709f27e0bb3561f8f5a27,2320,2,2,5,2320::fixed1024::0,5,1.0,True,759
hitab,1b3643d9dc75aa52f70badeb58647ae7,123,0,8,3,123::fixed1024::0,3,1.0,True,679
hitab,52d5dd67e1b954d8dbb5253cff68d67b,2318,3,5,5,2318::fixed1024::0,5,1.0,True,309
hitab,959d49bed354bb31f0675182bc7a1af7,1556,4,0,5,1556::fixed1024::0,5,1.0,True,172
hitab,61956e6cbad0974cddcd0a088d64ca35,161_80_tab2,9,2,4,161_80_tab2::fixed1024::0,4,1.0,True,1024
hitab,b1fedf749cc8eef309790fad09f40810,1561,0,1,3,1561::fixed1024::0,3,1.0,True,310
hitab,83fe1c4a4ae7848b1d51f471c3015dc6,465_totto53315-3,0,3,4,465_totto53315-3::fixed1024::0,4,1.0,True,344
hitab,b1bb5cba5feae22c4023df52d44efab7,123,1,7,3,123::fixed1024::0,3,1.0,True,679
hitab,9afa706fcb47e9050b7e832e2ab43e31,146,1,2,5,146::fixed1024::0,5,1.0,True,473
hitab,3c87a02d49bc5c9df61f7af4ef018978,1601,14,0,5,1601::fixed1024::0,5,1.0,True,306
hitab,5f426200925bf3a1b9720eddc9a666e5,153_72_tab5,0,6,2,153_72_tab5::fixed1024::0,2,1.0,True,1024
hitab,155e2dc06f156a5c043abd575ed7e948,2003,26,4,3,2003::fixed1024::0,3,1.0,True,1024
hitab,54fe22f207e7ee604e143d236fedb00a,1719,7,3,4,1719::fixed1024::0,4,1.0,True,946
hitab,ec00010d172e9ff333ad033a3e91d787,1601,7,0,5,1601::fixed1024::0,5,1.0,True,306
hitab,0ea04ce7f2eb1f393dfae5438681bde6,1660,36,1,3,1660::fixed1024::1,1,0.3333333333333333,False,408
hitab,c5e1012cc874a0ae468d65d409c007a2,2314,1,5,5,2314::fixed1024::0,5,1.0,True,703
hitab,80ebc3c1e4f3a7693a90ca87ea184bf4,487,37,0,4,487::fixed1024::1,3,0.75,False,953
hitab,5c17f45305d43606d3d50c1030a78639,2607,7,0,3,2607::fixed1024::0,3,1.0,True,130
hitab,3ef669b2dada38db336b255aaca6268a,2540,22,1,4,2540::fixed1024::0,4,1.0,True,1024
hitab,d126c5a4f2e077693b32065318ca41de,2003,26,0,3,2003::fixed1024::0,3,1.0,True,1024
hitab,e0731cc7fa0cbba2c5ef295293ecd159,81_41_nsf19326-tab003,1,1,3,81_41_nsf19326-tab003::fixed1024::0,3,1.0,True,797
hitab,e3ecc94bd99e3a82831b239cdfb61e23,2003,5,4,3,2003::fixed1024::0,3,1.0,True,1024
hitab,bd700914acdd1136ff00d35439fd8042,914,20,0,5,914::fixed1024::0,5,1.0,True,681
hitab,e787c9de756ff0da1df55eba5381fa19,1017,15,7,3,1017::fixed1024::0,3,1.0,True,458
hitab,4ea3c1908ca49ceab34fd92206ed73cb,2754,4,2,4,2754::fixed1024::0,4,1.0,True,505
hitab,f38d0cb20945852910dd56c764dfefab,1573,5,1,4,1573::fixed1024::0,4,1.0,True,634
hitab,8edee42912d1e74110878e742609d29c,1927,22,0,2,1927::fixed1024::0,2,1.0,True,1024
hitab,51a9278d6eeb26d8a864ad7b1e0f3df9,1029,12,6,3,1029::fixed1024::0,3,1.0,True,498
hitab,e8bc7f6064e64a7b79b49900b4f98416,914,20,0,5,914::fixed1024::0,5,1.0,True,681
hitab,ce04f29db43a9587633109a71a70cccc,702,0,10,3,702::fixed1024::0,3,1.0,True,811
hitab,0b8415cf5d4c6a7e0e6718ed74cf8e55,917,29,3,4,917::fixed1024::0,4,1.0,True,899
hitab,afa6b80c82c8d3b2da22409e9132d1f4,2549,1,2,5,2549::fixed1024::0,5,1.0,True,527
hitab,9f9d66e92bfb74548c7e4826782e4813,1561,18,1,4,1561::fixed1024::0,4,1.0,True,310
hitab,10eb5080cf87dbb12d2daa2853069b18,1800,20,4,3,1800::fixed1024::0,3,1.0,True,793
hitab,8eda59bf06d954e9832023e86b475cff,2314,2,3,5,2314::fixed1024::0,5,1.0,True,703
hitab,a76af4a7c3200612bdecd41d5d78e999,914,15,3,5,914::fixed1024::0,5,1.0,True,681
hitab,d328e0a7c354544060cad8eb78f3a9a3,2462,4,3,4,2462::fixed1024::0,4,1.0,True,241
hitab,02abd6e041370714f8e7f5799cd3ab8b,380,1,1,3,380::fixed1024::0,3,1.0,True,539
hitab,2103e4eadf3b6e5403f24243b5cee2c5,1719,22,7,4,1719::fixed1024::0,4,1.0,True,946
hitab,2646105921bf1c2515179b081481505a,1029,12,3,3,1029::fixed1024::0,3,1.0,True,498
hitab,cc36bd94d2913c1e7a8563df1ee5d2aa,129_62_np16-ib-19308-tab003,1,0,4,129_62_np16-ib-19308-tab003::fixed1024::0,4,1.0,True,992
hitab,6f60b8ad7f6eca2ef40ff16b8483d0c3,192_90_tab1,8,2,4,192_90_tab1::fixed1024::0,4,1.0,True,467
hitab,94b39bee670f1d52ad61ecdac4067594,2395,2,1,4,2395::fixed1024::0,4,1.0,True,989
hitab,bf87d96c54d5e7de99f228e58b9733b8,1604,1,1,4,1604::fixed1024::0,4,1.0,True,165
hitab,1898eae7cffd8e0fdb1320ad316b7cdd,1893,4,5,3,1893::fixed1024::0,3,1.0,True,220
hitab,b9dbd5f004d17ebee0fe004644ca2218,2311,4,3,4,2311::fixed1024::0,4,1.0,True,309
hitab,805dcacc38b216e16b9c8a0356f11cd0,307,2,0,5,307::fixed1024::0,5,1.0,True,175
hitab,19b7603a79c0e87f02cc58a236f682c6,919,5,0,4,919::fixed1024::0,4,1.0,True,447
hitab,0863a2f809eecdd72103643c7bc50797,2793,26,2,4,2793::fixed1024::0,4,1.0,True,692
hitab,8f08affc5f4b91209fa5fd7ba1c50512,433_totto49924-2,4,10,3,433_totto49924-2::fixed1024::0,3,1.0,True,249
hitab,677abbc2d78e6464077e689941785507,401_totto46394-1,0,2,4,401_totto46394-1::fixed1024::0,4,1.0,True,139
hitab,ea7e46fb92b5f5118b6194b18f923fd9,2318,5,5,5,2318::fixed1024::0,5,1.0,True,309
hitab,6425b813b4997990cf791fd1f9337747,1804,0,0,3,1804::fixed1024::0,3,1.0,True,228
hitab,c2de00da3f77ddf7947b243564dc191c,2368,3,0,2,2368::fixed1024::0,2,1.0,True,98
hitab,bc9f2c979231ecc5e2d96a7aa787f82d,1725,14,5,5,1725::fixed1024::0,5,1.0,True,621
