query_id,table_id,gold_row,gold_col,group,hit@10,hit@50
383,education-table10,4,0,full,1,1
389,education-table11,0,5,full,0,0
389,education-table11,0,12,full,0,0
391,education-table12,1,6,full,0,0
395,economy-table05,42,0,full,0,1
400,economy-table06,6,0,full,0,1
410,economy-table08,3,0,full,1,1
414,economy-table09,9,0,full,0,1
419,economy-table10,14,0,full,0,0
424,education-table14,7,0,full,1,1
424,education-table14,17,10,full,0,0
430,economy-table12,10,3,full,1,1
433,economy-table13,6,0,full,0,1
454,economy-table15,10,11,full,1,1
464,environment-table04,3,0,full,1,1
474,economy-table25,0,0,full,1,1
500,business-table05,0,3,full,1,1
504,military-table21,19,0,full,1,1
506,employment-table29,2,2,full,1,1
513,military-table22,1,14,full,0,0
525,environment-table06,4,1,full,1,1
549,business-table06,10,18,full,0,0
552,business-table07,9,11,full,1,1
553,business-table07,9,1,full,1,1
553,business-table07,9,13,full,1,1
553,business-table07,9,15,full,1,1
557,employment-table31,12,9,full,0,0
567,transport-table08,2,0,full,0,0
567,transport-table08,2,1,full,0,0
582,society-table85,3,2,full,1,1
608,labor-table02,7,0,full,0,0
608,labor-table02,11,0,full,0,0
622,economy-table31,3,4,full,0,1
665,economy-table55,0,1,full,1,1
679,labor-table04,2,1,full,0,0
680,labor-table04,3,2,full,0,0
680,labor-table04,4,2,full,0,0
699,sport-table05,0,12,full,0,0
702,economy-table36,2,7,full,0,0
702,economy-table36,3,7,full,0,0
717,manufacture-table01,26,0,full,0,0
719,manufacture-table01,3,0,full,0,0
719,manufacture-table01,63,0,full,0,0
720,manufacture-table01,28,0,full,0,0
728,economy-table38,0,4,full,1,1
728,economy-table38,0,6,full,0,0
775,economy-table43,37,5,full,1,1
779,sport-table06,21,6,full,0,0
803,labor-table12,0,10,full,0,1
813,labor-table13,0,17,full,0,0
869,food-table01,2,0,full,1,1
869,food-table01,9,0,full,1,1
869,food-table01,11,0,full,0,1
879,labor-table21,1,13,full,0,0
888,sport-table07,2,6,full,0,0
889,sport-table07,4,6,full,0,0
891,labor-table22,2,0,full,1,1
909,economy-table61,24,3,full,0,0
963,manufacture-table12,13,0,full,0,0
963,manufacture-table12,13,4,full,0,0
979,labor-table27,6,0,full,0,1
984,economy-table68,103,0,full,0,0
985,economy-table68,68,1,full,0,0
987,economy-table68,5,0,full,0,0
999,economy-table69,0,2,full,1,1
1029,health-table12,3,2,full,0,0
1030,health-table12,3,0,full,0,0
1061,labor-table33,5,0,full,0,1
1064,sport-table11,1,2,full,0,0
1085,sport-table12,6,0,full,1,1
1085,sport-table12,18,1,full,0,0
1111,manufacture-table17,58,5,full,0,0
1143,economy-table81,6,0,full,0,0
1145,economy-table81,12,0,full,0,0
1153,economy-table84,0,0,full,1,1
1212,environment-table16,1,9,full,1,1
1229,environment-table19,219,0,full,0,0
1232,environment-table20,20,2,full,1,1
1233,environment-table20,29,11,full,0,0
1234,economy-table110,9,9,full,0,0
1236,economy-table110,6,5,full,0,0
1237,economy-table110,8,5,full,1,1
1241,economy-table111,9,3,full,0,0
1245,economy-table112,13,0,full,0,0
1277,science-table09,39,9,full,1,1
1302,science-table16,9,1,full,0,0
1303,science-table16,13,2,full,0,0
1304,science-table16,23,0,full,0,0
1305,science-table16,4,0,full,0,0
1338,science-table17,6,0,full,0,0
1339,science-table17,12,1,full,0,0
1376,society-table25,22,0,full,1,1
1377,society-table25,10,0,full,1,1
1378,society-table25,9,0,full,0,0
1380,society-table27,38,0,full,0,0
1390,society-table30,12,0,full,0,0
1407,society-table33,38,0,full,0,0
1409,society-table33,13,0,full,0,0
1410,society-table34,6,1,full,1,1
1426,society-table37,3,0,full,0,0
1427,society-table37,28,0,full,0,0
1428,society-table37,49,0,full,0,0
1430,society-table38,8,13,full,0,0
1430,society-table38,31,10,full,0,0
1431,society-table38,0,0,full,0,0
1432,society-table38,0,0,full,0,0
1433,society-table38,24,14,full,0,0
1433,society-table38,25,7,full,0,0
1435,society-table39,2,1,full,0,0
1435,society-table39,3,1,full,0,0
1435,society-table39,6,1,full,0,0
1435,society-table39,7,1,full,0,0
1456,society-table44,11,0,full,0,0
1461,society-table45,8,0,full,0,0
1462,society-table45,8,0,full,0,0
1463,society-table45,21,0,full,1,1
1465,society-table46,13,0,full,0,0
1467,society-table46,14,0,full,0,0
1468,society-table46,58,0,full,0,0
1490,education-table26,7,24,full,1,1
1495,education-table27,6,24,full,1,1
1497,education-table27,8,3,full,0,0
1503,education-table28,8,3,full,0,0
1529,medical-table03,17,1,full,0,1
1543,environment-table40,83,1,full,0,0
1546,environment-table41,10,0,full,0,1
1551,environment-table42,10,0,full,0,0
1565,science-table20,0,0,full,0,0
1570,science-table21,0,0,full,0,0
1586,society-table55,67,6,full,0,0
1641,science-table33,2,2,full,0,0
1646,science-table34,5,2,full,0,0
1651,science-table35,6,7,full,0,0
1662,science-table39,19,2,full,1,1
1666,science-table40,97,1,full,0,0
1671,science-table41,14,0,full,0,0
1679,science-table43,5,1,full,0,0
1741,health-table30,0,2,full,1,1
1754,health-table32,21,9,full,0,1
1757,health-table33,2,6,full,0,0
1771,health-table36,30,1,full,0,1
1776,health-table37,30,1,full,0,1
1781,health-table38,30,1,full,0,1
1793,health-table40,6,0,full,0,0
1809,health-table43,16,9,full,0,1
1891,education-table17,0,19,full,1,1
1937,society-table08,1,0,full,1,1
1946,society-table06,34,0,full,1,1
1998,education-table23,7,2,full,0,0
2001,food-table10,2,3,full,1,1
2001,food-table10,2,4,full,1,1
2002,food-table10,2,7,full,1,1
2031,education-table36,3,2,full,1,1
2042,economy-table108,2,2,full,1,1
2067,society-table13,5,0,full,0,0
2083,education-table24,40,3,full,0,0
2093,labor-table66,16,4,full,1,1
2097,labor-table65,26,2,full,1,1
2114,labor-table57,72,3,full,1,1
2116,labor-table56,85,4,full,1,1
2127,labor-table54,45,2,full,1,1
2159,labor-table61,10,1,full,1,1
2166,religion-table06,4,15,full,0,0
2170,religion-table06,23,1,full,0,0
2186,religion-table10,1,14,full,0,0
2188,religion-table10,6,18,full,0,0
2189,religion-table10,7,12,full,0,1
2190,religion-table10,9,0,full,1,1
2191,religion-table01,8,4,full,0,0
2193,religion-table01,1,2,full,0,0
2197,religion-table02,20,1,full,0,0
2204,religion-table03,1,6,full,0,0
2204,religion-table03,1,9,full,0,0
2206,religion-table04,1,7,full,0,0
2210,religion-table04,8,16,full,0,0
2221,business-table15,6,18,full,1,1
2243,society-table60,0,0,full,1,1
2243,society-table60,0,2,full,1,1
2260,society-table63,12,0,full,1,1
2266,economy-table117,2,0,full,1,1
2269,economy-table117,2,3,full,1,1
2270,economy-table117,2,7,full,1,1
2271,economy-table118,28,4,full,1,1
2277,society-table64,2,18,full,1,1
2305,agriculture-table09,0,5,full,1,1
2314,society-table68,15,15,full,0,0
2314,society-table68,35,16,full,0,0
2317,society-table69,2,13,full,0,0
2319,society-table69,12,1,full,0,0
2320,society-table69,6,8,full,0,0
2320,society-table69,6,9,full,0,0
2321,society-table69,6,8,full,0,0
2323,society-table70,0,0,full,1,1
2324,society-table70,0,1,full,1,1
2329,society-table72,36,0,full,1,1
2330,society-table72,37,0,full,0,1
2333,society-table73,5,1,full,1,1
2337,society-table74,0,0,full,1,1
2342,society-table75,1,2,full,1,1
2356,sport-table13,2,2,full,0,0
2356,sport-table13,28,2,full,0,0
2364,productivity-table07,8,2,full,1,1
2393,economy-table119,0,0,full,0,0
2393,economy-table119,19,0,full,0,0
2408,manufacture-table20,0,1,full,0,1
2408,manufacture-table20,1,1,full,0,0
2419,economy-table122,1,1,full,0,0
2430,education-table33,0,1,full,1,1
2470,economy-table126,15,4,full,0,0
2497,labor-table49,7,0,full,0,1
2497,labor-table49,16,0,full,0,1
2497,labor-table49,23,0,full,0,1
2497,labor-table49,28,0,full,0,1
2497,labor-table49,35,0,full,0,1
2497,labor-table49,40,0,full,0,1
2497,labor-table49,47,0,full,1,1
2497,labor-table49,56,0,full,0,1
2497,labor-table49,64,0,full,1,1
2513,science-table52,10,0,full,1,1
2514,science-table52,11,8,full,0,1
2518,science-table53,10,0,full,1,1
2523,science-table54,12,2,full,0,1
2524,science-table54,11,7,full,1,1
2550,science-table56,25,0,full,1,1
2553,environment-table45,0,8,full,1,1
2617,science-table67,2,3,full,0,0
2629,science-table70,0,1,full,0,1
2633,science-table71,0,1,full,1,1
2637,science-table72,0,1,full,1,1
