query_id,table_id,gold_row,gold_col,group,hit@10,hit@50
q-139,tab-27,0,0,full,1,1
q-140,tab-27,6,2,full,1,1
q-141,tab-27,10,2,full,1,1
q-142,tab-27,10,3,full,1,1
q-143,tab-28,4,1,full,1,1
q-144,tab-28,11,0,full,1,1
q-145,tab-28,24,2,partial,1,1
q-146,tab-28,1,0,full,1,1
q-147,tab-28,1,1,full,1,1
q-148,tab-28,4,1,full,1,1
q-149,tab-28,11,0,full,1,1
q-150,tab-28,23,0,partial,1,1
q-151,tab-28,24,0,partial,1,1
q-152,tab-29,1,1,full,1,1
q-153,tab-29,1,1,full,0,1
q-155,tab-29,7,0,full,1,1
q-156,tab-29,9,2,full,1,1
q-157,tab-30,3,4,full,1,1
q-158,tab-30,1,5,full,1,1
q-159,tab-30,3,4,full,1,1
q-160,tab-30,3,5,full,1,1
q-161,tab-31,0,1,full,1,1
q-163,tab-31,0,1,full,1,1
q-167,tab-32,15,4,partial,0,0
q-168,tab-32,16,2,partial,0,0
q-169,tab-32,16,3,partial,0,0
q-170,tab-32,17,3,partial,0,1
q-171,tab-32,19,0,partial,0,1
q-172,tab-32,26,0,partial,0,1
q-173,tab-32,32,1,partial,0,1
q-174,tab-32,15,4,partial,0,0
q-175,tab-32,16,2,partial,0,1
q-176,tab-32,16,3,partial,0,1
q-177,tab-32,22,1,partial,1,1
q-178,tab-32,33,0,partial,0,1
q-179,tab-32,23,1,partial,1,1
q-180,tab-33,1,2,full,1,1
q-181,tab-33,1,2,full,1,1
q-182,tab-33,2,3,full,1,1
q-183,tab-33,4,0,full,1,1
q-184,tab-34,5,0,full,1,1
q-185,tab-34,5,0,full,1,1
q-186,tab-34,17,0,full,0,1
q-187,tab-35,4,2,full,1,1
q-188,tab-35,10,1,full,1,1
q-189,tab-35,1,0,full,1,1
q-190,tab-35,1,0,full,0,1
q-191,tab-35,0,0,full,0,1
q-192,tab-35,10,1,full,1,1
q-193,tab-36,3,1,full,0,1
q-194,tab-36,3,1,full,1,1
q-195,tab-36,3,1,full,0,1
q-196,tab-37,0,1,full,1,1
q-197,tab-37,7,1,full,1,1
q-198,tab-37,11,1,full,1,1
q-199,tab-37,1,1,full,1,1
q-202,tab-38,11,1,full,1,1
q-203,tab-38,15,1,full,1,1
q-204,tab-39,0,1,full,1,1
q-205,tab-39,0,2,full,1,1
q-206,tab-39,0,4,full,1,1
q-207,tab-39,0,1,full,1,1
q-208,tab-39,0,2,full,1,1
q-209,tab-39,0,4,full,1,1
q-210,tab-39,1,0,full,1,1
q-211,tab-39,2,4,full,1,1
q-212,tab-40,5,4,full,1,1
q-214,tab-40,12,0,full,1,1
q-215,tab-40,1,3,full,1,1
q-216,tab-40,1,3,full,1,1
q-217,tab-40,2,1,full,1,1
q-218,tab-40,5,4,full,1,1
q-219,tab-40,12,0,full,1,1
q-220,tab-40,15,4,full,0,1
q-221,tab-41,7,0,full,1,1
q-222,tab-41,8,0,full,1,1
q-223,tab-41,0,2,full,1,1
q-224,tab-41,0,2,full,1,1
q-225,tab-41,11,0,full,1,1
q-226,tab-41,8,0,full,1,1
q-227,tab-42,0,0,full,1,1
q-228,tab-42,10,0,full,1,1
q-229,tab-42,14,0,partial,1,1
q-230,tab-42,0,0,full,1,1
q-233,tab-42,15,1,partial,1,1
q-234,tab-43,7,0,full,1,1
q-235,tab-43,7,0,full,1,1
q-236,tab-44,7,0,full,1,1
q-237,tab-45,3,2,full,1,1
q-238,tab-45,0,1,full,1,1
q-239,tab-45,1,2,full,1,1
q-241,tab-46,0,1,full,1,1
q-242,tab-46,3,2,full,1,1
q-243,tab-46,5,0,full,1,1
q-244,tab-47,8,2,full,1,1
q-245,tab-47,7,1,full,1,1
q-246,tab-48,3,1,full,1,1
q-247,tab-48,0,1,full,1,1
q-248,tab-49,16,0,partial,0,0
q-249,tab-49,22,0,partial,0,0
q-250,tab-49,0,1,full,0,1
q-251,tab-50,4,0,full,1,1
q-252,tab-50,9,0,full,1,1
q-253,tab-50,1,1,full,1,1
q-254,tab-51,3,0,full,0,1
q-255,tab-51,4,2,full,1,1
q-256,tab-51,13,0,partial,1,1
q-257,tab-52,0,0,full,1,1
q-258,tab-52,5,0,full,0,1
q-259,tab-52,2,0,full,1,1
q-261,tab-53,1,2,full,0,1
q-262,tab-53,0,2,full,0,1
q-263,tab-53,4,0,full,1,1
q-264,tab-53,4,1,full,0,1
q-265,tab-54,2,0,full,1,1
q-266,tab-54,3,2,full,1,1
q-267,tab-55,1,1,full,1,1
q-268,tab-55,0,4,full,1,1
q-269,tab-55,1,3,full,1,1
q-270,tab-55,2,0,full,0,1
q-271,tab-56,9,1,full,1,1
q-272,tab-57,3,4,full,1,1
q-273,tab-57,11,2,full,1,1
q-274,tab-57,1,2,full,1,1
q-275,tab-57,15,2,full,0,1
q-276,tab-57,11,2,full,0,1
q-277,tab-58,0,0,full,1,1
q-278,tab-58,0,0,full,1,1
q-279,tab-59,1,2,full,1,1
q-280,tab-59,3,1,full,1,1
q-283,tab-60,2,1,full,1,1
q-284,tab-61,1,0,full,0,1
q-285,tab-61,2,1,full,0,1
q-286,tab-61,4,0,full,0,1
q-287,tab-61,11,2,full,1,1
q-288,tab-61,17,1,partial,0,1
q-289,tab-61,20,3,partial,1,1
q-290,tab-61,22,4,partial,1,1
q-291,tab-61,1,0,full,0,1
q-292,tab-61,10,1,full,0,1
q-293,tab-61,18,2,partial,1,1
q-294,tab-61,4,0,full,0,1
q-295,tab-61,13,1,partial,0,1
q-296,tab-62,7,1,full,1,1
q-297,tab-62,0,0,full,1,1
q-298,tab-62,1,2,full,1,1
q-299,tab-63,0,1,full,1,1
q-300,tab-63,1,2,full,1,1
q-301,tab-64,5,6,full,0,1
q-302,tab-64,0,5,full,1,1
q-303,tab-65,6,1,full,0,1
q-304,tab-65,11,0,full,1,1
q-305,tab-65,0,1,full,1,1
q-306,tab-65,6,0,full,1,1
q-307,tab-66,0,0,full,1,1
q-308,tab-66,3,2,full,1,1
q-309,tab-66,5,1,full,1,1
q-310,tab-66,6,1,full,1,1
q-311,tab-66,10,0,full,0,1
q-312,tab-67,2,2,full,1,1
q-313,tab-68,3,0,full,1,1
q-314,tab-68,1,2,full,1,1
q-315,tab-69,4,4,full,1,1
q-316,tab-70,1,0,full,1,1
q-317,tab-70,0,0,full,1,1
q-318,tab-70,2,1,full,1,1
q-319,tab-70,3,2,full,1,1
q-320,tab-70,4,1,full,1,1
q-321,tab-71,4,0,full,1,1
q-322,tab-71,2,1,full,1,1
q-323,tab-71,4,0,full,1,1
q-324,tab-72,7,0,full,1,1
q-328,tab-73,0,3,full,1,1
q-329,tab-73,1,3,full,0,0
q-330,tab-73,2,1,full,1,1
q-331,tab-73,0,1,full,1,1
q-332,tab-73,0,1,full,0,1
q-333,tab-73,2,3,full,0,1
q-334,tab-73,0,4,full,0,1
q-335,tab-73,1,3,full,0,1
q-336,tab-73,0,2,full,0,1
q-337,tab-73,1,3,full,0,1
q-338,tab-74,1,1,full,1,1
q-339,tab-74,3,2,full,1,1
q-340,tab-74,4,1,full,1,1
q-341,tab-74,1,1,full,1,1
q-342,tab-74,0,1,full,1,1
q-343,tab-74,3,0,full,1,1
q-345,tab-75,23,1,partial,0,0
q-346,tab-75,23,4,partial,0,0
q-348,tab-75,23,1,partial,0,0
q-350,tab-76,0,5,full,1,1
q-351,tab-76,1,0,full,1,1
q-352,tab-77,0,0,full,1,1
q-353,tab-77,8,3,full,1,1
q-354,tab-77,8,4,full,0,0
q-355,tab-77,5,4,full,0,1
q-356,tab-77,8,3,full,1,1
q-358,tab-78,1,1,full,1,1
q-361,tab-78,2,1,full,1,1
q-363,tab-78,1,1,full,1,1
q-364,tab-78,1,1,full,1,1
q-365,tab-79,0,0,full,0,1
q-366,tab-79,1,0,full,0,1
q-367,tab-79,4,0,full,0,1
q-368,tab-79,7,0,full,1,1
q-369,tab-79,7,2,full,1,1
q-370,tab-79,9,1,full,1,1
q-371,tab-79,0,2,full,0,1
q-372,tab-79,6,3,full,1,1
q-373,tab-79,6,3,full,0,1
q-374,tab-79,8,2,full,1,1
q-375,tab-79,0,3,full,0,1
q-376,tab-79,6,4,full,1,1
q-377,tab-79,0,1,full,0,1
q-378,tab-79,0,1,full,0,1
q-379,tab-79,6,0,full,1,1
q-380,tab-79,1,1,full,0,1
q-381,tab-79,7,0,full,1,1
q-382,tab-80,1,0,full,1,1
q-383,tab-80,1,2,full,1,1
q-384,tab-80,1,3,full,1,1
q-385,tab-80,6,0,full,1,1
q-386,tab-80,8,0,full,1,1
q-387,tab-80,8,1,full,1,1
q-388,tab-80,8,2,full,1,1
q-389,tab-80,8,4,full,1,1
q-390,tab-80,1,0,full,0,0
q-391,tab-80,3,2,full,1,1
q-392,tab-80,5,3,full,1,1
q-393,tab-80,9,1,full,0,1
q-394,tab-80,9,1,full,0,1
q-395,tab-80,6,4,full,1,1
q-396,tab-80,7,0,full,1,1
q-397,tab-80,7,0,full,1,1
q-398,tab-80,6,2,full,0,1
q-399,tab-81,0,1,full,1,1
q-400,tab-81,0,1,full,1,1
q-401,tab-81,2,3,full,1,1
q-402,tab-82,6,0,full,0,1
q-403,tab-82,4,1,full,1,1
q-404,tab-82,6,0,full,0,1
q-405,tab-82,10,2,full,1,1
q-406,tab-83,2,0,full,1,1
q-407,tab-83,10,3,full,1,1
q-408,tab-83,1,4,full,1,1
q-409,tab-83,6,1,full,0,1
q-410,tab-84,16,0,full,1,1
q-411,tab-84,16,2,full,1,1
q-412,tab-84,5,2,full,1,1
q-413,tab-85,24,0,full,1,1
q-414,tab-85,0,0,full,1,1
q-415,tab-85,6,1,full,1,1
q-416,tab-86,2,0,full,1,1
q-417,tab-86,3,1,full,1,1
q-418,tab-86,3,1,full,1,1
q-419,tab-87,8,0,full,1,1
q-420,tab-87,0,1,full,1,1
q-421,tab-88,6,0,full,1,1
q-422,tab-88,5,1,full,1,1
q-423,tab-89,4,0,full,1,1
q-424,tab-89,4,2,full,1,1
q-425,tab-89,7,0,full,1,1
q-426,tab-90,0,1,full,1,1
q-427,tab-90,0,1,full,1,1
q-428,tab-90,10,3,full,1,1
q-430,tab-91,5,0,full,1,1
q-431,tab-91,1,2,full,1,1
q-432,tab-91,1,2,full,1,1
q-433,tab-91,16,1,full,1,1
q-435,tab-92,2,0,full,1,1
q-439,tab-94,3,0,full,1,1
q-443,tab-95,7,0,full,1,1
q-446,tab-96,7,3,full,1,1
q-453,tab-99,0,3,full,1,1
q-458,tab-101,1,2,full,1,1
q-459,tab-101,6,0,full,1,1
q-464,tab-103,9,3,full,0,0
q-466,tab-103,6,1,full,1,1
q-467,tab-103,9,4,full,0,1
q-468,tab-104,3,2,full,0,1
q-469,tab-104,2,1,full,0,1
q-470,tab-104,3,2,full,0,0
q-471,tab-105,1,0,full,0,1
q-472,tab-105,0,5,full,0,0
q-473,tab-105,1,0,full,0,1
q-474,tab-105,4,0,full,0,1
q-475,tab-106,3,2,full,1,1
q-476,tab-106,0,2,full,1,1
q-477,tab-106,1,0,full,1,1
q-478,tab-106,3,2,full,1,1
q-479,tab-107,5,0,full,0,1
q-480,tab-108,6,2,full,1,1
q-481,tab-108,2,1,full,0,1
q-482,tab-108,7,3,full,1,1
q-483,tab-108,16,1,full,0,0
q-484,tab-109,0,0,full,1,1
q-485,tab-110,0,1,full,1,1
q-486,tab-110,1,1,full,1,1
q-487,tab-110,5,1,full,1,1
q-488,tab-110,9,1,full,1,1
q-489,tab-110,11,1,full,1,1
q-490,tab-110,8,2,full,1,1
q-491,tab-110,1,1,full,1,1
q-492,tab-110,1,3,full,1,1
q-493,tab-110,9,0,full,1,1
q-494,tab-110,11,1,full,1,1
q-497,tab-111,3,3,full,1,1
q-498,tab-111,0,1,full,1,1
q-499,tab-111,3,5,full,1,1
q-500,tab-111,3,2,full,1,1
q-501,tab-111,3,3,full,0,1
q-502,tab-112,15,0,partial,0,1
q-503,tab-112,16,0,partial,0,1
q-504,tab-112,25,0,partial,0,1
q-505,tab-112,28,0,partial,1,1
q-506,tab-112,32,0,partial,0,1
q-507,tab-112,15,0,partial,0,0
q-508,tab-112,34,4,partial,0,0
q-509,tab-112,6,2,full,0,1
q-510,tab-112,2,2,full,0,1
q-511,tab-112,14,1,partial,1,1
q-512,tab-112,17,1,partial,0,1
q-513,tab-112,20,3,partial,1,1
q-514,tab-112,32,0,partial,0,1
