query_id,gold_rank,unknown_rank_original_scan,esm,gold_table,gold_row,gold_col,top1_table,top1_row,top1_col,same_table,same_row,same_col,error_class,gold_row_path,gold_col_path,top1_row_path,top1_col_path,dense_score_gold,dense_score_top1,margin_dense,hybrid_score_gold,hybrid_score_top1,margin_hybrid
0356b78121f0b07f8c238533de6d8957,1,0,1,133_64_sdr17-ib-19307-tab003,6,9,133_64_sdr17-ib-19307-tab003,6,9,1,1,1,exact_match,all employment sectors > federal government,2017 > female > %,all employment sectors > federal government,2017 > female > %,0.770991,0.770991,0.0,0.990534,0.990534,0.0
03a65e7848f82fcbff091b76cac5afc1,1,0,1,2613,13,0,2613,13,0,1,1,1,exact_match,percent > highest level of education completed > university degree,charter of rights and freedoms,percent > highest level of education completed > university degree,charter of rights and freedoms,0.773622,0.773622,0.0,1.0,1.0,0.0
03c9e16805ea51611fa700eb5fdd6680,7,0,0,729,5,0,729,7,0,1,0,1,wrong_row,percent > growth from 2001 to 2016,total,percent > individuals with a university degree within each population group > 2001,total,0.705358,0.722251,0.016894,0.934221,0.991113,0.056892
04161feb4413260cf720dd6196ebee32,1,0,1,502_totto57483-4,3,0,502_totto57483-4,3,0,1,1,1,exact_match,guangdong hongyuan > 1994,league > division,guangdong hongyuan > 1994,league > division,0.696573,0.696573,0.0,0.994161,0.994161,0.0
04572d818fcfa7491d9d7f539d40482d,1,0,1,2769,0,2,2769,0,2,1,1,1,exact_match,percent > crime was minor and not worth taking the time to report,nunavut,percent > crime was minor and not worth taking the time to report,nunavut,0.813603,0.813603,0.0,1.0,1.0,0.0
04587ca45265fc06f3eec539e134096d,2,0,0,246,6,1,246,0,1,1,0,1,wrong_row,"total, excluding syria",household > proportion of households with only one person > percent,syria,household > proportion of households with only one person > percent,0.7673,0.784748,0.017448,0.979901,0.984731,0.00483
0465428e164c8dfb486a83a89e5f4f65,1,0,1,1004,2,3,1004,2,3,1,1,1,exact_match,region of ancestry > africa,men > university degree only,region of ancestry > africa,men > university degree only,0.714281,0.714281,0.0,0.965962,0.965962,0.0
04912d50252c088bdef7ddf5ce296846,1,0,1,1644,11,3,1644,11,3,1,1,1,exact_match,total cmas > kingston,post-#metoo > rate,total cmas > kingston,post-#metoo > rate,0.779377,0.779377,0.0,1.0,1.0,0.0
054a1a4094d78187adc8be002c050889,1,0,1,170_totto20194-1,1,3,170_totto20194-1,1,3,1,1,1,exact_match,2018 > ten,receiving > yds,2018 > ten,receiving > yds,0.754924,0.754924,0.0,1.0,1.0,0.0
05961a45ddb856886b4d7151ee4e303c,1,0,1,65_20_nsf20316-tab001,2,1,65_20_nsf20316-tab001,2,1,1,1,1,exact_match,domestic r&d performancea > type of r&db > basic research,2018,domestic r&d performancea > type of r&db > basic research,2018,0.778105,0.778105,0.0,1.0,1.0,0.0
0654a77661a60c1aff6387ff4574abab,1,0,1,1902,1,0,1902,1,0,1,1,1,exact_match,percentage > total aboriginal identity female population > off-reserve first nations,chronic conditions > arthritis,percentage > total aboriginal identity female population > off-reserve first nations,chronic conditions > arthritis,0.826164,0.826164,0.0,1.0,1.0,0.0
068e85ed06c5b22bb4aeb913e8e1d4f2,1,0,1,102_53_nsf19315-tab001,9,1,102_53_nsf19315-tab001,9,1,1,1,1,exact_match,2006-16 annual growth rate (%)a > all industries,software r&d,2006-16 annual growth rate (%)a > all industries,software r&d,0.688305,0.688305,0.0,1.0,1.0,0.0
06e47fc12e39a89455f86f74aee140dc,4,0,0,2769,5,3,1510,13,2,0,0,0,wrong_table,percent > police wouldn't have found property/offender,all territories,percent > police would not have been able to find or identify the offender,total,0.793383,0.711993,-0.08139,0.869139,0.899243,0.030104
072716b59c63a3c7c38dbe43d8f7dd6b,1,0,1,1902,2,3,1902,2,3,1,1,1,exact_match,percentage > total aboriginal identity female population > metis,chronic conditions > mood disorder,percentage > total aboriginal identity female population > metis,chronic conditions > mood disorder,0.778443,0.778443,0.0,1.0,1.0,0.0
07c09d0b2aee8ae8ce94ebb8f5a187a8,5,0,0,1493,12,4,2775,12,2,0,0,0,wrong_table,canada > northwest territories,percent change in number of cases 2012/2013 to 2013/2014 > percent,canada > northwest territories,2013/2014 > number,0.79736,0.825122,0.027761,0.967655,0.980597,0.012942
07cba698b92f9be91922e7d551ca40da,1,0,1,435,2,1,435,2,1,1,1,1,exact_match,percentage > census metropolitan area of residence > montreal,type of municipality > central,percentage > census metropolitan area of residence > montreal,type of municipality > central,0.74029,0.74029,0.0,0.980529,0.980529,0.0
07e810086b40431fb3c2c5a064073471,1,0,1,2613,13,3,2613,13,3,1,1,1,exact_match,percent > highest level of education completed > university degree,rcmp,percent > highest level of education completed > university degree,rcmp,0.815541,0.815541,0.0,1.0,1.0,0.0
08147555888ee98eea4891c287470047,448,0,0,106_55_fs17-ib-19314-tab001,8,1,2547,5,1,0,0,0,wrong_table,2017,r&d,total > universities and colleges,total amount donated > millions of dollars,0.599954,0.636316,0.036362,0.680763,0.93863,0.257867
084cc16058303f709a416459bdc30c2e,1,0,1,1356,10,1,1356,10,1,1,1,1,exact_match,territories overall > northwest territories,sexual offences > rate,territories overall > northwest territories,sexual offences > rate,0.790818,0.790818,0.0,0.921357,0.921357,0.0
084e81b663314ac83844930d08f04961,1,0,1,2324,14,0,2324,14,0,1,1,1,exact_match,utilities > 53.2 > mnes,assets > $ millions,utilities > 53.2 > mnes,assets > $ millions,0.750469,0.750469,0.0,1.0,1.0,0.0
08707d3ab6ba4c50eaf55f65bcd90e2f,1,0,1,334_totto37980-0,0,3,334_totto37980-0,0,3,1,1,1,exact_match,alpine skiing > men's combined,silver medalist(s) > competitor(s),alpine skiing > men's combined,silver medalist(s) > competitor(s),0.769843,0.769843,0.0,0.992321,0.992321,0.0
08708efa7393dc18711fc45f412ef8d6,1,0,1,2022,25,5,2022,25,5,1,1,1,exact_match,delivery mode type > rural - rural postal code,"percentage of the population with postal codes, by number of dissemination area links > 5 or more > percent",delivery mode type > rural - rural postal code,"percentage of the population with postal codes, by number of dissemination area links > 5 or more > percent",0.714612,0.714612,0.0,1.0,1.0,0.0
0889dea3d39834505af04c6d05d03cbd,1,0,1,933,0,1,933,0,1,1,1,1,exact_match,completed cases related to drug possession > cannabis,guilty > percent,completed cases related to drug possession > cannabis,guilty > percent,0.770587,0.770587,0.0,1.0,1.0,0.0
08e861aa3507f774b842451bebd0408a,1,0,1,1290,6,0,1290,6,0,1,1,1,exact_match,"$120,000 and over",percentage,"$120,000 and over",percentage,0.682907,0.682907,0.0,0.929459,0.929459,0.0
08f4408e3033d5c9b887b6f7f9bb7b99,1,0,1,549,2,3,549,2,3,1,1,1,exact_match,percent > hybrid goods,firm structure > multiple province,percent > hybrid goods,firm structure > multiple province,0.788373,0.788373,0.0,0.994961,0.994961,0.0
092eb279a32389886b56d2f183969488,13,0,0,2442,12,0,2442,7,3,1,0,0,same_leaf_header,percent > outcome size class is observed at least twice in the three years following the transition year > become large,methodology 1: one year employment,percent > become large,methodology 4: three-year average employment and firm belongs to the size class at least two years out of three,0.656095,0.707836,0.051741,0.863935,0.9952,0.131265
093a4a77f99f491a5b837d716c42eda9,7,0,0,387_totto44676-2,0,5,387_totto44676-2,1,4,1,0,0,nearby_cell,adrian dix,third ballot > percent,mike farnworth,third ballot > votes,0.696415,0.759349,0.062934,0.838286,0.998054,0.159769
098a10fc3e91f99daffeceeb0a644028,4,0,0,1516,26,2,1516,26,0,1,1,0,wrong_column,millions of dollars > 2014 > business gross fixed capital formation,average revision,millions of dollars > 2014 > business gross fixed capital formation,revised average level,0.773739,0.783169,0.00943,0.954627,1.0,0.045373
098d4a8b691396caebed15a7844c00f8,1,0,1,1982,8,0,1982,8,0,1,1,1,exact_match,predicted probabilities > women > high,1941,predicted probabilities > women > high,1941,0.667194,0.667194,0.0,0.994264,0.994264,0.0
0a00e8f47e18dbf2425b9cce9436b226,9,0,0,434_totto50055-3,15,0,434_totto50055-3,24,0,1,0,1,same_value,milan > 2002-03,league > division,milan > 2011-12,league > division,0.714027,0.774871,0.060843,0.878278,0.994133,0.115854
0a2938b5924faf566b2ccd1061dc1412,34,0,0,92_48_nsf19322-tab001,0,1,16_118_tab1,1,1,0,0,0,wrong_table,all locations,total,u.s.-located companies > domestic r&d performance,2009,0.684337,0.705736,0.021399,0.919967,0.983904,0.063937
0a671f84f79ac5f03de98b386a469e7a,1,0,1,1494,9,4,1494,9,4,1,1,1,exact_match,violent offences > criminal harassment,percent change in number of cases 2012/2013 to 2013/2014 > percent,violent offences > criminal harassment,percent change in number of cases 2012/2013 to 2013/2014 > percent,0.693632,0.693632,0.0,1.0,1.0,0.0
0a9a03ea52acf3608ed0f76e9bb96e57,1,0,1,530,6,0,530,6,0,1,1,1,exact_match,age > 35 to 44,volunteer rate > 2013,age > 35 to 44,volunteer rate > 2013,0.762118,0.762118,0.0,0.958639,0.958639,0.0
0ad26158ac79836627df8e2620407b73,1,0,1,2546,17,1,2546,17,1,1,1,1,exact_match,percentage > household income quintile > highest quintile,other donors,percentage > household income quintile > highest quintile,other donors,0.75026,0.75026,0.0,0.997297,0.997297,0.0
0ad8a6a058610ceace633cbd60f25f2e,5,0,0,241_totto27420-4,3,6,241_totto27420-4,3,3,1,1,0,wrong_column,2015 > nc state,passing > int,2015 > nc state,passing > yds,0.646996,0.658713,0.011717,0.947529,0.963674,0.016145
0ad91051d2bfb962c2489005dcce0cec,1,0,1,1959,8,9,1959,8,9,1,1,1,exact_match,alberta,total homicide victims > aboriginal > rate,alberta,total homicide victims > aboriginal > rate,0.816115,0.816115,0.0,1.0,1.0,0.0
0b0b0d86476bb43de05a700211edbe2b,1,0,1,200,13,1,200,13,1,1,1,1,exact_match,percent > service > born more than 10 years,first nations > employer,percent > service > born more than 10 years,first nations > employer,0.764298,0.764298,0.0,0.997097,0.997097,0.0
0b1861a08ec699c36197279d2a3198a6,32,0,0,2384,0,0,2384,4,0,1,0,1,wrong_row,total,%,age > 45 to 64 years,%,0.765899,0.782068,0.016169,0.949834,0.997476,0.047642
0b4e0fb08eddab2818c2fcbb9ecee549,1,0,1,557,34,0,557,34,0,1,1,1,exact_match,reasons for not following exposure schedule > followed first time,%,reasons for not following exposure schedule > followed first time,%,0.549565,0.549565,0.0,1.0,1.0,0.0
0c047420cc8bc2407c0df13426d31e89,1,0,1,2297,4,6,2297,4,6,1,1,1,exact_match,percent > total > university degree at the bachelor's level or above,female parent in couples > 2011,percent > total > university degree at the bachelor's level or above,female parent in couples > 2011,0.777583,0.777583,0.0,1.0,1.0,0.0
0c04b94b7162d791a417ba4fedd934b5,29,0,0,231_totto26510-4,2,3,273_totto31153-4,13,3,0,0,0,wrong_table,career,passing > yds,125,passing > yards,0.665332,0.644894,-0.020438,0.904109,0.970201,0.066092
0c0e67cf0971bb34af10887f30fcea65,3,0,0,1626,0,0,1626,0,6,1,1,0,wrong_column,percentage > positive,total - 65 years and over > women,percentage > positive,85 years and over > women,0.809339,0.806925,-0.002414,0.99555,0.997287,0.001737
0c221c1ce1ef03c3f187b4c5b5ab7c1d,103,0,0,549,0,3,549,0,0,1,1,0,wrong_column,percent > goods only,firm structure > multiple province,percent > goods only,firm structure > total,0.615744,0.671174,0.05543,0.773344,0.859682,0.086338
0c4e788a590da4a4a92bd89875c6f7c2,1,0,1,2546,17,0,2546,17,0,1,1,1,exact_match,percentage > household income quintile > highest quintile,primary donors,percentage > household income quintile > highest quintile,primary donors,0.788503,0.788503,0.0,1.0,1.0,0.0
0c863f592b8b2b1612dbded809c4f631,40,0,0,1676,4,0,1602,10,2,0,0,0,wrong_table,union membership,regression results > coefficient,unemployment rate > non-aboriginal population,difference > percentage points,0.557342,0.594693,0.037351,0.776644,0.881411,0.104767
0cadc93388108edf660e16e871101726,1,0,1,1510,2,2,1510,2,2,1,1,1,exact_match,percent > no one was harmed,total,percent > no one was harmed,total,0.704851,0.704851,0.0,1.0,1.0,0.0
0cccdff1ef488b341ac6eb13875d7d77,1,0,1,435,4,1,435,4,1,1,1,1,exact_match,percentage > census metropolitan area of residence > vancouver,type of municipality > central,percentage > census metropolitan area of residence > vancouver,type of municipality > central,0.750889,0.750889,0.0,0.973044,0.973044,0.0
0cd55f444a3fad2e0eb52342dfa1ba6c,8,0,0,196_92_tab1,5,0,55_167_tab03,0,2,0,0,0,wrong_table,2015,all r&d expenditures,all ffrdcs,all r&d expenditures,0.756122,0.758596,0.002474,0.916744,0.972781,0.056037
0d0b40eb666f782692c7a22d042646f2,1,0,1,501,35,4,501,35,4,1,1,1,exact_match,for thousand women > 2016 > 25 to 29 years,que,for thousand women > 2016 > 25 to 29 years,que,0.764861,0.764861,0.0,0.995497,0.995497,0.0
0d2635246e5e1ab9550c3e8d9bd6ffcb,1,0,1,362,20,6,362,20,6,1,1,1,exact_match,females > 1,inuit > le,females > 1,inuit > le,0.785023,0.785023,0.0,0.992863,0.992863,0.0
0d33ea4a01e2b44ccde9efd33141f0f4,1,0,1,307_totto35194-4,3,3,307_totto35194-4,3,3,1,1,1,exact_match,1993 > dal,rushing > yards,1993 > dal,rushing > yards,0.780842,0.780842,0.0,1.0,1.0,0.0
0d3d00cf14597124de45eedfb2e49295,1,0,1,2009,10,0,2009,10,0,1,1,1,exact_match,percent > total,canadians whose household has a working: > smoke detector,percent > total,canadians whose household has a working: > smoke detector,0.71822,0.71822,0.0,1.0,1.0,0.0
0d40fd43e4943a2b6812696ab1db0d68,1,0,1,209_99_tab3,3,4,209_99_tab3,3,4,1,1,1,exact_match,united statesa > florida,health,united statesa > florida,health,0.768439,0.768439,0.0,1.0,1.0,0.0
0d5a890a5fcb7a4d5c8c219219c88ff9,3,0,0,766,0,1,766,3,1,1,0,1,wrong_row,percentage > total age groups,women > not a visible minority,percentage > total age groups > 55 to 64,women > not a visible minority,0.686378,0.692181,0.005803,0.969687,0.971378,0.001691
0d9a0f1e29b184a00f3d5c2c78fd750b,1,0,1,362,1,0,362,1,0,1,1,1,exact_match,males > 1,first nations people > le,males > 1,first nations people > le,0.780799,0.780799,0.0,0.990266,0.990266,0.0
0da3b1447be690fc7df7e7af927429ad,1,0,1,556_totto63673-2,16,0,556_totto63673-2,16,0,1,1,1,exact_match,flamurtari vlore > 2017-18,league > division,flamurtari vlore > 2017-18,league > division,0.736545,0.736545,0.0,0.994045,0.994045,0.0
0e0ccd96f16de17d3cb51e0522139971,1,0,1,2546,6,2,2546,6,2,1,1,1,exact_match,percentage > age group > 55 years and older,non-donors,percentage > age group > 55 years and older,non-donors,0.758261,0.758261,0.0,1.0,1.0,0.0
0e3249a1b0e59ccb7e6db1bc001c3367,1,0,1,2207,14,3,2207,14,3,1,1,1,exact_match,percent > federal,community supervision > aboriginal,percent > federal,community supervision > aboriginal,0.837869,0.837869,0.0,1.0,1.0,0.0
0e443a1c5103e84d2d05fa0bef5e4ec7,3,0,0,1663,13,0,1663,13,3,1,1,0,wrong_column,canada,firearm-related > 2017 > number,canada,firearm-related > 2017 > number of total homicides,0.823209,0.845065,0.021856,0.967991,1.0,0.032009
0e4711f80d1a7741b214626fb7d80add,1,0,1,2537,9,2,2537,9,2,1,1,1,exact_match,2014/2015,total cases > number,2014/2015,total cases > number,0.756324,0.756324,0.0,0.993591,0.993591,0.0
0eac92936f4997ef35c560ce7107ddf6,14,0,0,448,2,7,449,28,0,0,0,0,same_value,2018 > male victims,total sexual assault > percent,total,2018 > male victims > percent,0.722319,0.737485,0.015166,0.950563,0.977775,0.027212
0edb0c487809c68313f220288ec0ab52,3,0,0,1515,16,2,1515,16,0,1,1,0,wrong_column,millions of dollars > 2014 > gross operating surplus,average revision,millions of dollars > 2014 > gross operating surplus,revised average level,0.707763,0.734952,0.027189,0.960164,0.993167,0.033003
0f306293b1b671e908ec7bbc5e3cb4fa,2,0,0,347,9,3,347,3,3,1,0,1,wrong_row,total,custody > secure custody > percent female,ontario,custody > secure custody > percent female,0.798265,0.800346,0.00208,0.997788,1.0,0.002212
0f72827e8290b01032419840923eed47,4,0,0,76_totto8750-1,53,0,76_totto8750-1,51,0,1,0,1,wrong_row,u.s. total,total > none,state or federal district,total > none,0.744784,0.744652,-0.000132,0.986007,0.999833,0.013826
0fb26583dcb0c2fc3cf28abab14187ca,1,0,1,196_totto23102-1,14,12,196_totto23102-1,14,12,1,1,1,exact_match,arsenal > total,total > goals,arsenal > total,total > goals,0.730555,0.730555,0.0,0.994211,0.994211,0.0
0fcf6f2ecae64dad79efc051cc7c20ac,1,0,1,1683,7,1,1683,7,1,1,1,1,exact_match,percent > number of work interruptions > average duration of all work interruptions combined,men,percent > number of work interruptions > average duration of all work interruptions combined,men,0.713194,0.713194,0.0,1.0,1.0,0.0
0fea12e7a4f6da06249da5a2adee1d8b,1,0,1,1723,4,3,1723,4,3,1,1,1,exact_match,total - census family status > lone parent,homelessness support sector > percentage,total - census family status > lone parent,homelessness support sector > percentage,0.749452,0.749452,0.0,0.991246,0.991246,0.0
1019c6a7af02b99a72ba10d323a10213,1,0,1,771,8,0,771,8,0,1,1,1,exact_match,percentage > 15 to 24 years > not a visible minority,total > female,percentage > 15 to 24 years > not a visible minority,total > female,0.689378,0.689378,0.0,0.980849,0.980849,0.0
101e53984cf11d5df7c92502fbf6bc48,1,0,1,2102,3,0,2102,3,0,1,1,1,exact_match,percent > age > 75 to 79,2007,percent > age > 75 to 79,2007,0.790871,0.790871,0.0,1.0,1.0,0.0
108671cb689c688fbdbf74d16c9df23d,1,0,1,920,3,3,920,3,3,1,1,1,exact_match,physical assault > nova scotia,men > percent,physical assault > nova scotia,men > percent,0.860626,0.860626,0.0,1.0,1.0,0.0
118f49e9f3b704891f96b2ba42c0d75c,1,0,1,249_totto28140-0,2,5,249_totto28140-0,2,5,1,1,1,exact_match,1997 > den,rushing > tds,1997 > den,rushing > tds,0.64313,0.64313,0.0,1.0,1.0,0.0
11aebedafce25dc38fe6666a556327bb,1,0,1,422_totto48766-2,1,0,422_totto48766-2,1,0,1,1,1,exact_match,olimpo > 2014,league > division,olimpo > 2014,league > division,0.677291,0.677291,0.0,0.994161,0.994161,0.0
11f30db17a7c151825da8a03f0fd087d,2,0,0,1602,6,0,1602,6,1,1,1,0,wrong_column,employment rate > non-aboriginal population,married or common-law > percent,employment rate > non-aboriginal population,single or previously married > percent,0.76972,0.779189,0.009469,0.988027,0.996021,0.007993
12acd17d5fa052f5a747ca0aaf1812de,1,0,1,764,7,5,764,7,5,1,1,1,exact_match,percentage > age 25 to 54 > visible minority,immigrant > men,percentage > age 25 to 54 > visible minority,immigrant > men,0.718343,0.718343,0.0,0.980751,0.980751,0.0
12e4dc52e49f44ce7dca187935704d4d,1,0,1,764,10,2,764,10,2,1,1,1,exact_match,percentage > age 55 to 64 > visible minority,canadian-born > women,percentage > age 55 to 64 > visible minority,canadian-born > women,0.752787,0.752787,0.0,0.998334,0.998334,0.0
132116d22ce9f5842d5e23aa99197476,1,0,1,1469,2,3,1469,2,3,1,1,1,exact_match,official languages > french,multiple responses (language spoken at home)1 > percentage,official languages > french,multiple responses (language spoken at home)1 > percentage,0.749556,0.749556,0.0,1.0,1.0,0.0
14280bd73af437e8aa4b9b3ceed16596,3,0,0,350,0,1,350,3,1,1,0,1,wrong_row,percent > 12 to 44,2013-2014,percent > 12 to 44 > 35 to 44,2013-2014,0.809181,0.813,0.003819,0.984544,1.0,0.015456
143bcc0652038dfab7c454e888b800f4,1,0,1,362,1,6,362,1,6,1,1,1,exact_match,males > 1,inuit > le,males > 1,inuit > le,0.79941,0.79941,0.0,0.99167,0.99167,0.0
145375917385732b4711a4a664c2852b,19,0,0,50_164_tab3,3,1,48_164_tab1,0,4,0,0,0,wrong_table,all u.s. seh doctorate holders > sex > female,in labor force > all,number in labor force > all seh fields,2010,0.727261,0.761184,0.033923,0.923342,1.0,0.076658
14ff164458c5511745cd57f63bfc79b4,1,0,1,2546,23,2,2546,23,2,1,1,1,exact_match,percentage > personal income quintile > highest quintile,non-donors,percentage > personal income quintile > highest quintile,non-donors,0.807925,0.807925,0.0,1.0,1.0,0.0
151630b11fb096f7a630c9a0386bc976,1,0,1,2205,5,2,2205,5,2,1,1,1,exact_match,community supervision,total-reporting jurisdictions > percent change in the number from 2015/2016,community supervision,total-reporting jurisdictions > percent change in the number from 2015/2016,0.700609,0.700609,0.0,0.960383,0.960383,0.0
15ef07a1e7916da2207b2a0bad45bf22,2,0,0,102_53_nsf19315-tab001,5,0,102_53_nsf19315-tab001,6,0,1,0,1,wrong_row,2016 > all industries,total business r&d,2016 > all industries > manufacturing,total business r&d,0.709512,0.716536,0.007024,0.990548,0.99632,0.005773
16417ec8a3d47e874eeedd059390f099,74,0,0,549,1,3,549,1,0,1,1,0,wrong_column,percent > services only,firm structure > multiple province,percent > services only,firm structure > total,0.578945,0.654389,0.075444,0.747798,0.859682,0.111883
16697a4760740c37d8a302e4e2969a65,3,0,0,312_totto35881-3,10,2,312_totto35881-3,11,2,1,0,1,wrong_row,cerezo osaka > 1999,league > goals,cerezo osaka > total,league > goals,0.72659,0.754415,0.027826,0.965476,1.0,0.034524
168df60a507ea657eda203885280f033,1,0,1,204_totto24002-4,3,10,204_totto24002-4,3,10,1,1,1,exact_match,brentford > 1990-91,total > goals,brentford > 1990-91,total > goals,0.711225,0.711225,0.0,1.0,1.0,0.0
16c4b49700f74cd75f4ec8f31c2825af,1,0,1,212,0,0,212,0,0,1,1,1,exact_match,percent > manufacturing,import participation rate > all firms,percent > manufacturing,import participation rate > all firms,0.702142,0.702142,0.0,1.0,1.0,0.0
16d50fc99f9d18173a90af79fe5a7360,1,0,1,232_totto26559-2,8,0,232_totto26559-2,8,0,1,1,1,exact_match,stoke > 1897-98,league > division,stoke > 1897-98,league > division,0.765796,0.765796,0.0,1.0,1.0,0.0
16d6ec74815691506be934d66f76b9b3,1,0,1,182_totto21517-0,3,4,182_totto21517-0,3,4,1,1,1,exact_match,1996,passing statistics > td,1996,passing statistics > td,0.605025,0.605025,0.0,0.986575,0.986575,0.0
16fbc0d7158342508d320d6c4d49e18f,1,0,1,920,11,0,920,11,0,1,1,1,exact_match,physical assault > provinces,women > percent,physical assault > provinces,women > percent,0.828516,0.828516,0.0,1.0,1.0,0.0
1717f9c6b4eb05e0c8366d6b01390d06,1,0,1,399,7,2,399,7,2,1,1,1,exact_match,predicted probability > lower skill level > non-aboriginal,literacy > model 3,predicted probability > lower skill level > non-aboriginal,literacy > model 3,0.833197,0.833197,0.0,1.0,1.0,0.0
17ab3070bb7894af7e02467ec6a19a88,1,0,1,2756,2,1,2756,2,1,1,1,1,exact_match,"rate per 100,000 population > sexual offences",males,"rate per 100,000 population > sexual offences",males,0.720777,0.720777,0.0,1.0,1.0,0.0
17f5d230073c06f3a9f00a8c244a5c08,3,0,0,363_totto41364-0,8,3,363_totto41364-0,6,2,1,0,0,other,edward viii,"duration > (years, days)",edward vii,duration > (days),0.755386,0.762118,0.006732,0.982993,1.0,0.017007
192328ddd0562edae71cadff24fe4d69,1,0,1,955,14,4,955,14,4,1,1,1,exact_match,federal,custody > total percent change from 2017/2018 > percent,federal,custody > total percent change from 2017/2018 > percent,0.787626,0.787626,0.0,0.969841,0.969841,0.0
192933bdbbc004e654e1c9eb9a9b4ec9,1,0,1,1857,6,3,1857,6,3,1,1,1,exact_match,independent variables > met all three guideline reccomendations,"youth > n = 1,477 > percent",independent variables > met all three guideline reccomendations,"youth > n = 1,477 > percent",0.637982,0.637982,0.0,1.0,1.0,0.0
19940bcad1a9985373e1b831e49b438d,13,0,0,132_totto16111-1,6,3,402_totto46543-0,4,7,0,0,0,wrong_table,seattle seahawks > 2006,rushing > yds,career total > 41,receiving > yards,0.59164,0.653695,0.062056,0.846793,0.985478,0.138686
199d039c0d7d0fe9fb6e70e4a75045bc,6,0,0,591_totto67983-2,4,0,591_totto67983-2,5,0,1,0,1,same_value,lanus > 2015,league > division,lanus > 2016,league > division,0.694711,0.721132,0.026421,0.876301,0.955992,0.079691
19b52e7e980aa0a6e35835ee2297c254,1,0,1,212,1,0,212,1,0,1,1,1,exact_match,percent > wholesale trade,import participation rate > all firms,percent > wholesale trade,import participation rate > all firms,0.695765,0.695765,0.0,0.994343,0.994343,0.0
1a5a85dd5d2abbf23450c7ee74bb0ab9,1,0,1,211,4,3,211,4,3,1,1,1,exact_match,percent > wholesale trade,exports > all firms,percent > wholesale trade,exports > all firms,0.741992,0.741992,0.0,1.0,1.0,0.0
1a8dd6bc4a44eeb549c5b0cafff9f67d,1,0,1,399,6,2,399,6,2,1,1,1,exact_match,predicted probability > lower skill level > metis,literacy > model 3,predicted probability > lower skill level > metis,literacy > model 3,0.822521,0.822521,0.0,1.0,1.0,0.0
1b4e46198b58e03dbd8caa810806db8c,1,0,1,2589,10,5,2589,10,5,1,1,1,exact_match,non-intimate partner violence (non-ipv) cases > probation,total guilty cases > percent,non-intimate partner violence (non-ipv) cases > probation,total guilty cases > percent,0.792477,0.792477,0.0,1.0,1.0,0.0
