번호,query_id,질문 원문,정답 값,정답 표 제목,정답 셀 경로(행 머리글 > 열 머리글),정답 표 파일,1위 셀의 표 제목,1위 셀 경로(행 머리글 > 열 머리글),1위 표 파일,정답 표 제목과 같은 제목의 test 표 수(정답 표 포함),(가) 질문만 보고 정답 표를 특정할 수 있는가(예/아니오),(나) 예라면 근거 단어,(다) 1위 표로도 질문에 답할 수 있는가(예/아니오)
11,5f15bb0bdbd99fee28e3a2c174a9376a,what is the proportion of individuals who claim a disability tax credit?,0.4,summary statistics of sample,percent > other characteristics > has disability allowances > mean,judge40_tables/11_5f15bb0bdbd99fee28e3a2c174a9376a_gold.md,"family composition of population aged 25 to 64, by disability status, type and severity class, 2014",percent > disability status > with a disability > couple > one with a disability,judge40_tables/11_5f15bb0bdbd99fee28e3a2c174a9376a_top1.md,1,,,
12,6212e7e804400c635133bec9b7196147,"in 2010, how many percent was the labor force participation rate among seh doctorate holders for men?",87.7,"employment status of scientists and engineers with u.s. doctoral degrees, by sex, ethnicity, race, and citizenship: 2010",all u.s. seh doctorate holders > sex > male > in labor force > all,judge40_tables/12_6212e7e804400c635133bec9b7196147_gold.md,"number in labor force and unemployment rate for scientists and engineers with u.s. doctoral degrees, by field of doctorate: 2001-10",number in labor force > all seh fields > 2010,judge40_tables/12_6212e7e804400c635133bec9b7196147_top1.md,1,,,
13,68eaeef17a05268e1f14d7392447f6a3,what was the percent among their counterparts in households with five or more people?,80.0,"proportion of caregivers who received support for caregiving in the past 12 months, by sociodemographic characteristics, 2018",percent > household size > five or more > received support for caregiving in the past 12 months > any type of support,judge40_tables/13_68eaeef17a05268e1f14d7392447f6a3_gold.md,"household and family characteristics of refugees who resettled in canada between january 1, 2015, and may 10, 2016, by source country, 2016",other countries > household > proportion of households with only one person > percent,judge40_tables/13_68eaeef17a05268e1f14d7392447f6a3_top1.md,1,,,
14,6939086016c92b318fe710ce09fcaea2,what was the percentage of men that had employment in all five years?,27.9,selected income characteristics of decedents over the five years prior to death - t4 earnings,5 > men > percentage > percent,judge40_tables/14_6939086016c92b318fe710ce09fcaea2_gold.md,"employment rate of individuals aged 25 to 54, with no bachelor's degree, by region, united states, selected years",men > all regions > 2011 > percent,judge40_tables/14_6939086016c92b318fe710ce09fcaea2_top1.md,1,,,
15,6fcebcf499a7f7106400ac2d33cdd048,what was the percentage of female ecpas were from eastern europe?,10.4,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",% distribution > world region > eastern europe > women > economic class principal applicants > total,judge40_tables/15_6fcebcf499a7f7106400ac2d33cdd048_gold.md,"percentage distribution of immigrant landing file cohort, by sex, age group, immigration category, landing year, and source world region",% distribution > source world region > eastern europe > female,judge40_tables/15_6fcebcf499a7f7106400ac2d33cdd048_top1.md,1,,,
16,7380ff5eaeb2557b7a549b68f014e2a3,what was the percentage of female skilled workers were university graduates (bachelor's degree or more)?,65.7,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",% distribution > landing year > university graduation > women > economic class principal applicants > skilled workers,judge40_tables/16_7380ff5eaeb2557b7a549b68f014e2a3_gold.md,"percentage of highest certificate, diploma or degree of female lone parents and female parents in couples, aged 25 to 54 with children aged 15 and under in 1991, 2001 and 2011, canada",percent > total > university degree at the bachelor's level or above > female lone parents > 2011,judge40_tables/16_7380ff5eaeb2557b7a549b68f014e2a3_top1.md,1,,,
17,76f11e0e5ab80386f96fcf2f3ae0e651,what was the percentage of manufactures exported in 2011 and 2012?,20.04,import or export participation rates of firms in the manufacturing and wholesale trade sectors,percent > manufacturing > export participation rate > all firms,judge40_tables/17_76f11e0e5ab80386f96fcf2f3ae0e651_gold.md,earnings premiums by firm characteristics,exporters relative to non-exporters > 2012 > number,judge40_tables/17_76f11e0e5ab80386f96fcf2f3ae0e651_top1.md,1,,,
18,78a19d0e2e5a0ad6398d3389b7d46e98,what was the percent of all senior caregivers aged 65 and older providing care primarily for a spouse in the past 12 months?,34.1,"relationship between the caregiver and their primary care receiver, by caregiver's age, 2018",65 and older > primary care receiver > spouse/partner,judge40_tables/18_78a19d0e2e5a0ad6398d3389b7d46e98_gold.md,"proportion of caregivers who received support for caregiving in the past 12 months, by sociodemographic characteristics, 2018",percent > age > 65 and older > received support for caregiving in the past 12 months > any type of support,judge40_tables/18_78a19d0e2e5a0ad6398d3389b7d46e98_top1.md,1,,,
19,7cb39f8e9e1f9282f1b169f390345306,what was the percentage of women who did not have employment in any of the previous five years?,51.0,selected income characteristics of decedents over the five years prior to death - t4 earnings,0 > women > percentage > percent,judge40_tables/19_7cb39f8e9e1f9282f1b169f390345306_gold.md,"employment rate of individuals aged 25 to 54, with no bachelor's degree, by region, united states, selected years",women > south central > 2007 > percent,judge40_tables/19_7cb39f8e9e1f9282f1b169f390345306_top1.md,1,,,
20,7fb14f32b233aebd6e14ffa0d9c08eff,"among visible minority women aged 15 and over, what was the percentage of women were unemployed in the week prior to the 2011 census?",10.6,"this table displays the results of unemployment rate. the information is grouped by population (appearing as row headers), total, canadian-born, immigrant, women and men, calculated using percentage units of measure (appearing as column headers)",percentage > age 15 and over > visible minority > total > women,judge40_tables/20_7fb14f32b233aebd6e14ffa0d9c08eff_gold.md,"this table displays the results of part-time employment among population aged 15 and over who worked in 2010. the information is grouped by age group (appearing as row headers), women, men, visible minority and not a visible minority, calculated using percentage units of measure (appearing as column headers)",percentage > total age groups > 15 to 24 > women > visible minority,judge40_tables/20_7fb14f32b233aebd6e14ffa0d9c08eff_top1.md,1,,,
21,810c706ff53b4354f9608002319683b9,"overall, what was the percentage of visible minority women and girls living in a low-income situation?",21.9,"this table displays the results of prevalence of low income. the information is grouped by low income (appearing as row headers), total, canadian-born, immigrant, female and male, calculated using percentage units of measure (appearing as column headers)",percentage > total age groups > visible minority > total > female,judge40_tables/21_810c706ff53b4354f9608002319683b9_gold.md,"distribution of visible minority females in selected municipalities in the census metropolitan areas of toronto, vancouver, montreal, and calgary, canada, 2011",toronto cma > mississauga > as a percent of visible minority females in each cma,judge40_tables/21_810c706ff53b4354f9608002319683b9_top1.md,1,,,
22,89bab78aee8ef8065330506d7128f3f6,what was the percentage of the injuries occurred only once during the previous 12 months?,56.3,"factors involved in tanning equipment use, household population aged 12 or older, canada excluding territories, 2014",number of episodes of discomfort/injury to skin in past year > 1 > %,judge40_tables/22_89bab78aee8ef8065330506d7128f3f6_gold.md,"health risk behaviours, by sexual orientation and gender, canada, 2018",used drugs or alcohol to cope > with abuse or violence that occurred in past 12 months > heterosexual > percent,judge40_tables/22_89bab78aee8ef8065330506d7128f3f6_top1.md,1,,,
23,8db22461be5d09fe27d62d3b758fad97,what was the peak chart position on the us200 of the album roses?,117.0,Rufus Wainwright discography: studio albums,"2001 > poses released: june 5, 2001 label: dreamworks format: cd > peak chart positions > us 200",judge40_tables/23_8db22461be5d09fe27d62d3b758fad97_gold.md,Against Me! discography: singles,2002 > the disco before the breakdown > peak chart positions > us rock,judge40_tables/23_8db22461be5d09fe27d62d3b758fad97_top1.md,1,,,
24,8e41bf48220d3ec31e7eb2367c58d82d,what was the percent of seniors aged 65 to 74 cared to a spouse?,27.8,"relationship between the caregiver and their primary care receiver, by caregiver's age, 2018",65 and older > 65 to 74 > primary care receiver > spouse/partner,judge40_tables/24_8e41bf48220d3ec31e7eb2367c58d82d_gold.md,"primary caregiver of seniors who received unpaid help in the last 12 months, by age group and sex, canada, 2012",percentage > total > spouse > 65 to 74 years > men,judge40_tables/24_8e41bf48220d3ec31e7eb2367c58d82d_top1.md,1,,,
25,a8cb77d327fed6ce680ed7ad883b9814,what was the percentage of male ecpas who were from south asia?,19.1,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",% distribution > world region > south asia > men > economic class principal applicants > total,judge40_tables/25_a8cb77d327fed6ce680ed7ad883b9814_gold.md,"percentage distribution of immigrant landing file cohort, by sex, age group, immigration category, landing year, and source world region",% distribution > source world region > south asia > male,judge40_tables/25_a8cb77d327fed6ce680ed7ad883b9814_top1.md,1,,,
26,b2159bd13b094c55c37ac20154b4f3db,how many thousand dollars did expenditures funded by business-funded r&d increase to in fy 2012?,3282.0,"higher education r&d expenditures, by source of funds: fys 2010-12",2012 > business,judge40_tables/26_b2159bd13b094c55c37ac20154b4f3db_gold.md,"total r&d expenditures at federally funded research and development centers, by character of work and ffrdc: fy 2012",university administered > all r&d expenditures,judge40_tables/26_b2159bd13b094c55c37ac20154b4f3db_top1.md,1,,,
27,b8b332eb07c52c9c44666293f5ea8e2b,what percent of individuals aged 60 years old on average are immigrants?,6.1,descriptive statistics,percent > immigrant > average,judge40_tables/27_b8b332eb07c52c9c44666293f5ea8e2b_gold.md,"estimated population aged 25 to 64 with at least a bachelor's degree, 2001 to 2016",percent > individuals with a university degree within each population group > 2001 > long-term immigrants,judge40_tables/27_b8b332eb07c52c9c44666293f5ea8e2b_top1.md,1,,,
28,b996440119231357e1e3334a12cb2b64,what is the overall percentage of perfectly matched postal codes?,76.4,performance of imputation for experiments a and b,experiment a > total - experiment a > perfect matches > percent,judge40_tables/28_b996440119231357e1e3334a12cb2b64_gold.md,"percentage of the canadian population matched to one dissemination area or more than one dissemination area in the postal code conversion file plus, by postal code characteristics","canada > percentage of the population with postal codes, by number of dissemination area links > missing > percent",judge40_tables/28_b996440119231357e1e3334a12cb2b64_top1.md,1,,,
29,c04336aaa39d30cba448c6a4ae017745,what was the percentage of wholesalers exported in 2011 and 2012?,10.42,import or export participation rates of firms in the manufacturing and wholesale trade sectors,percent > wholesale trade > export participation rate > all firms,judge40_tables/29_c04336aaa39d30cba448c6a4ae017745_gold.md,"note 1 of cannabis by wholesalers, october 2018 to september 2019, canada",total > september 2019 > wholesalers proportion of total retail activity > percent,judge40_tables/29_c04336aaa39d30cba448c6a4ae017745_top1.md,1,,,
30,c16818cb84fdc3c87a1eeec3037e1b4b,what was the percentage of female correctional workers employed in the criminal justice system in 2011?,32.0,,correctional service officers > 2011 > percent total,judge40_tables/30_c16818cb84fdc3c87a1eeec3037e1b4b_gold.md,"admissions to youth correctional services by type of supervision and jurisdiction, 2014/2015",ontario > total correctional services > percent female,judge40_tables/30_c16818cb84fdc3c87a1eeec3037e1b4b_top1.md,5,,,
31,c53375d3ec90313b7c70f6b6502769c4,what was the national quarterly rate at two times?,18.6,"victims of police-reported sexual assault, by quarterly #metoo period and census metropolitan area, canada, 2016 and 2017",canada > post-#metoo > rate,judge40_tables/31_c53375d3ec90313b7c70f6b6502769c4_gold.md,"frequency at which people follow news and current affairs, 2003 and 2013",percentage > level of education > postsecondary diploma or certificate > several times a month or several times a week > 2003,judge40_tables/31_c53375d3ec90313b7c70f6b6502769c4_top1.md,1,,,
32,c71c045bac9ce9e5604a95f9b1688676,how many games did grogan finished with?,135.0,List of New England Patriots starting quarterbacks: statistics,steve grogan > 1975-1990 > passing statistics > gs,judge40_tables/32_c71c045bac9ce9e5604a95f9b1688676_gold.md,Steve Grogan: regular season,1977 > ne > 14 > 14 > notes,judge40_tables/32_c71c045bac9ce9e5604a95f9b1688676_top1.md,1,,,
33,cb0de475ffbb8a36ea561a85a4a73cba,what is the individuals'average age?,41.6,summary statistics of sample,years > demographics > age > mean,judge40_tables/33_cb0de475ffbb8a36ea561a85a4a73cba_gold.md,descriptive statistics,years > demographics > individual's age > average,judge40_tables/33_cb0de475ffbb8a36ea561a85a4a73cba_top1.md,1,,,
34,cb8a4498d559394b4617f5775e1315fd,what was the percentage of male skilled workers were university graduates (bachelor's degree or more)?,73.2,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",% distribution > landing year > university graduation > men > economic class principal applicants > skilled workers,judge40_tables/34_cb8a4498d559394b4617f5775e1315fd_gold.md,"estimated population aged 25 to 64 with at least a bachelor's degree, 2001 to 2016",percent > individuals with a university degree within each population group > 2011 > total,judge40_tables/34_cb8a4498d559394b4617f5775e1315fd_top1.md,1,,,
35,d3b16e0a68b172cf22ba780ddacc0dc0,what was the percentage of female ecpas were from east asia?,24.6,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",% distribution > world region > east asia > women > economic class principal applicants > total,judge40_tables/35_d3b16e0a68b172cf22ba780ddacc0dc0_gold.md,"percentage distribution of immigrant landing file cohort, by sex, age group, immigration category, landing year, and source world region",% distribution > source world region > east asia > female,judge40_tables/35_d3b16e0a68b172cf22ba780ddacc0dc0_top1.md,1,,,
36,d7848bd4a92822affd40df34e647de7d,what is the participation rate in 2007?,67.4,,percent > actual > 2007 > both sexes,judge40_tables/36_d7848bd4a92822affd40df34e647de7d_gold.md,import or export participation rates of firms in the manufacturing and wholesale trade sectors,percent > manufacturing > import participation rate > all firms,judge40_tables/36_d7848bd4a92822affd40df34e647de7d_top1.md,5,,,
37,d7fd608ab5aac14a5bb51ede2bff65ac,what was the percentage points were they less likely to be employed full time?,-0.083,estimated relationship between teacher job characteristics and private high school employment,employed full time > regression results > coefficient,judge40_tables/37_d7fd608ab5aac14a5bb51ede2bff65ac_gold.md,,"median employment income > employed full year, full time in reference year > level of education > less than a high school diploma > 2014 dollars",judge40_tables/37_d7fd608ab5aac14a5bb51ede2bff65ac_top1.md,1,,,
38,e1717106e44ab2792531adc4e4f23a94,what was the percent of the national rate of major assault (level 2 and 3) increased in 2019 for the fifth consecutive year due to higher rates of assault with a weapon or causing bodily harm (level 2)?,8.0,"police-reported crime for selected offences, by province or territory, 2019",canada > major assault > percent change in rate 2018 to 2019,judge40_tables/38_e1717106e44ab2792531adc4e4f23a94_gold.md,"police-reported crime for selected offences, canada, 2018 and 2019",total violent crime > assault - level 2 - weapon or bodily harm > change in rate 2018 to 2019 > percent,judge40_tables/38_e1717106e44ab2792531adc4e4f23a94_top1.md,1,,,
39,ede09a0429b207bcb49ec381eac1bf77,how many percent of caregivers living with their care receiver helped a woman?,62.0,"characteristics of primary care receivers care facility (ref.), supportive housing, at home, separate households and at home, shared household, calculated using number (in thousands) and percentage units of measure (appearing as column headers)","percentage > sex of care receiver > female > at home, shared household",judge40_tables/39_ede09a0429b207bcb49ec381eac1bf77_gold.md,"relationship between the caregiver and their primary care receiver, by caregiver's age, 2018",caregiver's age > primary care receiver > spouse/partner,judge40_tables/39_ede09a0429b207bcb49ec381eac1bf77_top1.md,1,,,
40,f5719a1bbf54e674764f458348ac13ae,what was the percentage of female ecpas were from southeast asia?,31.3,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",% distribution > world region > southeast asia > women > economic class principal applicants > total,judge40_tables/40_f5719a1bbf54e674764f458348ac13ae_gold.md,"voting rates in federal elections by country or region of birth and by sex, 2011 and 2015",southeast asia > women > change > percentage point,judge40_tables/40_f5719a1bbf54e674764f458348ac13ae_top1.md,1,,,
