query_id,question,gold_table_id,gold_table_title,top1_table_id,top1_table_title,gold_rank_cut21,gold_rank_records
3fab5ae74a35d4849bcac912f052382b,"completed cases involving other types of drugs resulted in guilty decisions more often, what is the percentage of cocaine from 2008/2009 to 2011/2012?",933,"this table displays the results of completed drug-related cases in adult criminal court, by decision, type of offence, and type of drug, canada, 2008/2009 to 2011/2012. the information is grouped by type of offence and type of drug (appearing as row headers), guilty, stayed/withdrawn, acquitted, other and total, calculated using number and percent units of measure (appearing as column headers)",933,"this table displays the results of completed drug-related cases in adult criminal court, by decision, type of offence, and type of drug, canada, 2008/2009 to 2011/2012. the information is grouped by type of offence and type of drug (appearing as row headers), guilty, stayed/withdrawn, acquitted, other and total, calculated using number and percent units of measure (appearing as column headers)",21,39
42fae71dc7de2ff8ec037019a41dd13d,what was the proportion of visible minority men and boys living in low-income situations?,771,"this table displays the results of prevalence of low income. the information is grouped by low income (appearing as row headers), total, canadian-born, immigrant, female and male, calculated using percentage units of measure (appearing as column headers)",766,"this table displays the results of part-time employment among population aged 15 and over who worked in 2010. the information is grouped by age group (appearing as row headers), women, men, visible minority and not a visible minority, calculated using percentage units of measure (appearing as column headers)",21,51
5839d6a5a46d6c60a36aae0f3884f5e3,what was the percentage of females in the cma of calgary belonged to a visible minority group?,751,"distribution of visible minority females in selected municipalities in the census metropolitan areas of toronto, vancouver, montreal, and calgary, canada, 2011",751,"distribution of visible minority females in selected municipalities in the census metropolitan areas of toronto, vancouver, montreal, and calgary, canada, 2011",21,40
584e4d960971437dba9edf31d69a114a,what was the number of incidents of sexual assault (including founded and unfounded) reported to the police in 2017?,2352,"police-reported incidents of sexual assault, by clearance status and province or territory, 2016 and 2017",2352,"police-reported incidents of sexual assault, by clearance status and province or territory, 2016 and 2017",21,80
5dd3fec581f2e2b614b1c9d792723492,what was the rate of police strength in winsor in 2017?,358,"municipal police services serving a population of 100,000 or more, canada, 2017",358,"municipal police services serving a population of 100,000 or more, canada, 2017",21,28
61143c012eadeb4070c9f6ce7072fa8b,"according to brdis, what was the total number of employees at r&d-performing companies in 2015?",105_54_nsf19316-tab003,"domestic total and r&d employment, by company size: 2008-15",105_54_nsf19316-tab003,"domestic total and r&d employment, by company size: 2008-15",21,43
63728aa6d540ab921547dde59cd18830,"in 2014/2015, how many cases did canada's youth courts complet involving 120,907 charges related to criminal code and other federal statute offences, including offences related to the ycja?",1913,"charges and cases completed in youth court, canada, 2005/2006 to 2014/2015",1496,"cases completed in youth court, by type of offence and decision, canada, 2013/2014",21,35
6575d4efd8d4247b85a1218a67a4ca25,what was the percentage of women and girls in the cma of montreal belonged to a visible minority group?,751,"distribution of visible minority females in selected municipalities in the census metropolitan areas of toronto, vancouver, montreal, and calgary, canada, 2011",751,"distribution of visible minority females in selected municipalities in the census metropolitan areas of toronto, vancouver, montreal, and calgary, canada, 2011",21,46
693ec89b19900fffdbcd05cd8eb354fb,how many million dollars was funding from other sources in 2017?,65_20_nsf20316-tab001,"funds spent for business r&d performed in the united states, by type of r&d, source of funds, and size of company: 2017-18",56_173_tab1,"higher education r&d expenditures, by source of funds: fys 2010-12",21,21
6f6c406a0ed987e0fe507bc434c02a46,what's the increasing number of the professionals potentially able to provide services in the minority language in 2011 was greater than expected?,707,"health care professionals present and expected in new brunswick and its regions, 2011",707,"health care professionals present and expected in new brunswick and its regions, 2011",21,78
720e2c9c6caa13f0942e5bc2e444d498,"in the cma of toronto, what was the percentage of females belonged to a visible minority group?",751,"distribution of visible minority females in selected municipalities in the census metropolitan areas of toronto, vancouver, montreal, and calgary, canada, 2011",751,"distribution of visible minority females in selected municipalities in the census metropolitan areas of toronto, vancouver, montreal, and calgary, canada, 2011",21,41
7c2d4c7010f3d02a4cb5b1da1c4313a4,what is the population comprised of current students and people who had been previously employed but were not permanently retired?,947,"selected characteristics of persons aged 15 to 64 with disabilities by category of work potentialnote 1, note 2",947,"selected characteristics of persons aged 15 to 64 with disabilities by category of work potentialnote 1, note 2",21,
88f7b783c4cf4c75f8ae9e12b5ce6d36,what was the number of appearances made by dave kitson in his career totally?,181_totto21471-3,Dave Kitson: career statistics,181_totto21471-3,Dave Kitson: career statistics,21,53
8ec692fe85b783ce8c4caf34842f4335,"how many percent of the total number of enterprises in canada has increased from 1,028,397 in 2008 to 1,089,136 in 2014?",1077,"active enterprises with one or more employees by enterprise size class, 2008 and 2014",1077,"active enterprises with one or more employees by enterprise size class, 2008 and 2014",21,102
98b5f7cb88c5a1ca069c0b45046153db,what is the final poistion for tigers in the 2017 - 18 champions cup?,7_totto903-4,Leicester Tigers: season summary,7_totto903-4,Leicester Tigers: season summary,21,47
9f39b6d8cc1cb119e605a419d556b8b1,how many ers in the upper-third of the layoff rate distribution?,2610,"profile of economic regions of residence with relatively low and relatively high layoff rates, averages of 2003 to 2013",2610,"profile of economic regions of residence with relatively low and relatively high layoff rates, averages of 2003 to 2013",21,22
abaf598dc25817efcf67fcd0bac06a1c,"in the cma of vancouver, what was the percentage of all females belonged to a visible minority group?",751,"distribution of visible minority females in selected municipalities in the census metropolitan areas of toronto, vancouver, montreal, and calgary, canada, 2011",751,"distribution of visible minority females in selected municipalities in the census metropolitan areas of toronto, vancouver, montreal, and calgary, canada, 2011",21,43
b06905508e5b9e1598265fcfb1229906,what was the number of appearances made by whelan for stoke?,157_totto18855-3,Glenn Whelan: club,157_totto18855-3,Glenn Whelan: club,21,35
ba8d1b2dabb97dc7333783ced6df77bf,"on average, how many dollars did families hold in resps including families who did not hold an resp?",282,registered education savings plan holdings of economic families with children,282,registered education savings plan holdings of economic families with children,21,108
c7e5abd2e9c1c367658a4f424f5e8a65,"what is the percentage of members who were 24 years of age and younger saw, heard, or experienced sexualized or discriminatory behaviour in the past 12 months?",453,"canadian armed forces regular force members who witnessed or experienced sexualized or discriminatory behaviours in the past 12 months, by selected characteristics and types of behaviour, 2018",453,"canadian armed forces regular force members who witnessed or experienced sexualized or discriminatory behaviours in the past 12 months, by selected characteristics and types of behaviour, 2018",21,23
c926b3d861ea24989d873c6f781bfce9,"in fy 2017, how many million dollars did federal agencies obligate to institutions of higher education in support of science and engineering (s&e)?",106_55_fs17-ib-19314-tab001,"federal science and engineering obligations, by type of activity: fys 2009-17",106_55_fs17-ib-19314-tab001,"federal science and engineering obligations, by type of activity: fys 2009-17",21,143
d6d4d3b77a54da32a35ba7b01841d96c,how many matches did simen wangberg play in tippeligaen before he moved to brann in 2012?,41_totto4556-0,Simen Wangberg: club,41_totto4556-0,Simen Wangberg: club,21,102
dbc32084535e60e41dd2c9e5b7ec0ddf,how many appearances did tommy higginson make for his 12-years with brentford?,35_totto4058-2,Tommy Higginson: career statistics,35_totto4058-2,Tommy Higginson: career statistics,21,105
dcadc31f634e2df848f25119cbf6b1b0,what was the infant mortality in british columbia in 2013?,2417,"this table displays the results of number and rate of infant mortality. the information is grouped by year (appearing as row headers), n.l., p.e.i., n.s., n.b., que., ont., man., sask., alta., b.c., y.t., n.w.t., nvt., unknown and canada, calculated using number and rate per 1,000 units of measure (appearing as column headers)",966,"thyroid cancer death counts, age-standardized mortality rates (asmrs), and trends in asmrs, by sex, age group and province, canada excluding quebec",21,28
dffc23f130e35c1cd12bea73411a878f,"what is the percentage of senior men rated their general health as ""good"", ""very good"", or ""excellent"".",1625,"self-reported health of senior women and men, by age group, canada, 2013-2014",1625,"self-reported health of senior women and men, by age group, canada, 2013-2014",21,82
e30ae2e681f8526880c0dba2edbba915,how many passing yards did detmer get for colorado totally?,127_totto15163-1,Koy Detmer: statistics,127_totto15163-1,Koy Detmer: statistics,21,41
e457bbfa0f7b82e54322c0c6adde87e9,"in fy 2015, a total of 39 state governments reported some expenditures for energy-related r&d, how many thousand dollars were state government r&d expenditures for energy-related r&d in oregon?",209_99_tab3,"state agency expenditures for r&d, by state and function of r&d, for the 10 states with the highest levels of r&d expenditures: fy 2015",209_99_tab3,"state agency expenditures for r&d, by state and function of r&d, for the 10 states with the highest levels of r&d expenditures: fy 2015",21,68
e812e27620760570e0c4df5678a40336,how many goals did bucur got in sportul studentesc?,55_totto6269-4,Gheorghe Bucur: statistics,55_totto6269-4,Gheorghe Bucur: statistics,21,75
ee75c80f04501d76eb87e15f9d95fad6,"in fy 2016, how many million dollars did federal agencies obligate to institutions of higher education in support of science and engineering (s&e)?",106_55_fs17-ib-19314-tab001,"federal science and engineering obligations, by type of activity: fys 2009-17",106_55_fs17-ib-19314-tab001,"federal science and engineering obligations, by type of activity: fys 2009-17",21,175
ef879733782be16efc7e0f0712474243,which league did bateman appear for brentford team in the 1934-35 season?,364_totto41529-0,"Arthur Bateman (footballer, born 1908): career statistics",14_totto1734-1,"Arthur Bateman (footballer, born 1908): career statistics",21,34
f0567787a554df9acd218b8753a68ac0,what is the low boundary of percentage of french-speaking people in quebec is projected to be in 2036 ?,1195,"first official language spoken as a percentage of the population, quebec, canada outside quebec and canada, 2011 (estimated) and 2036",1195,"first official language spoken as a percentage of the population, quebec, canada outside quebec and canada, 2011 (estimated) and 2036",21,22
faa7c3995f78c7766326c8f404823540,how many games did pablo zabaleta play for manchester city over nine seasons?,322_totto36692-0,Pablo Zabaleta: career statistics,322_totto36692-0,Pablo Zabaleta: career statistics,21,53
fb405c7066103c7a1daa06dafbe395d1,how many percentage points did the number of passengers enplaned and deplaned at canadian airports increase in 2017 compared to the previous year?,2560,passenger and cargo data,2560,passenger and cargo data,21,47
fd0f45f84b9e9ec603acff9ba58b92ff,what was the total number of deaths attributed to tc in canada from 2012 to 2016?,966,"thyroid cancer death counts, age-standardized mortality rates (asmrs), and trends in asmrs, by sex, age group and province, canada excluding quebec",1795,"number of homicides, by province or territory, 1985 to 2015",21,25
fd6347ab41a3e2828894fd180dfee613,how many percent of those whose care receiver was living in a private household separate from theirs?,2481,"characteristics of primary care receivers care facility (ref.), supportive housing, at home, separate households and at home, shared household, calculated using number (in thousands) and percentage units of measure (appearing as column headers)",2481,"characteristics of primary care receivers care facility (ref.), supportive housing, at home, separate households and at home, shared household, calculated using number (in thousands) and percentage units of measure (appearing as column headers)",21,21
