query_id,question,gold_table_id,gold_table_title,top1_table_id,top1_table_title,same_title
5f15bb0bdbd99fee28e3a2c174a9376a,what is the proportion of individuals who claim a disability tax credit?,460,summary statistics of sample,473,"family composition of population aged 25 to 64, by disability status, type and severity class, 2014",아니오
6212e7e804400c635133bec9b7196147,"in 2010, how many percent was the labor force participation rate among seh doctorate holders for men?",50_164_tab3,"employment status of scientists and engineers with u.s. doctoral degrees, by sex, ethnicity, race, and citizenship: 2010",48_164_tab1,"number in labor force and unemployment rate for scientists and engineers with u.s. doctoral degrees, by field of doctorate: 2001-10",아니오
68eaeef17a05268e1f14d7392447f6a3,what was the percent among their counterparts in households with five or more people?,1653,"proportion of caregivers who received support for caregiving in the past 12 months, by sociodemographic characteristics, 2018",246,"household and family characteristics of refugees who resettled in canada between january 1, 2015, and may 10, 2016, by source country, 2016",아니오
6939086016c92b318fe710ce09fcaea2,what was the percentage of men that had employment in all five years?,2719,selected income characteristics of decedents over the five years prior to death - t4 earnings,1835,"employment rate of individuals aged 25 to 54, with no bachelor's degree, by region, united states, selected years",아니오
6fcebcf499a7f7106400ac2d33cdd048,what was the percentage of female ecpas were from eastern europe?,1534,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",1404,"percentage distribution of immigrant landing file cohort, by sex, age group, immigration category, landing year, and source world region",아니오
7380ff5eaeb2557b7a549b68f014e2a3,what was the percentage of female skilled workers were university graduates (bachelor's degree or more)?,1534,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",2297,"percentage of highest certificate, diploma or degree of female lone parents and female parents in couples, aged 25 to 54 with children aged 15 and under in 1991, 2001 and 2011, canada",아니오
76f11e0e5ab80386f96fcf2f3ae0e651,what was the percentage of manufactures exported in 2011 and 2012?,212,import or export participation rates of firms in the manufacturing and wholesale trade sectors,555,earnings premiums by firm characteristics,아니오
78a19d0e2e5a0ad6398d3389b7d46e98,what was the percent of all senior caregivers aged 65 and older providing care primarily for a spouse in the past 12 months?,565,"relationship between the caregiver and their primary care receiver, by caregiver's age, 2018",1653,"proportion of caregivers who received support for caregiving in the past 12 months, by sociodemographic characteristics, 2018",아니오
7cb39f8e9e1f9282f1b169f390345306,what was the percentage of women who did not have employment in any of the previous five years?,2719,selected income characteristics of decedents over the five years prior to death - t4 earnings,1835,"employment rate of individuals aged 25 to 54, with no bachelor's degree, by region, united states, selected years",아니오
7fb14f32b233aebd6e14ffa0d9c08eff,"among visible minority women aged 15 and over, what was the percentage of women were unemployed in the week prior to the 2011 census?",764,"this table displays the results of unemployment rate. the information is grouped by population (appearing as row headers), total, canadian-born, immigrant, women and men, calculated using percentage units of measure (appearing as column headers)",766,"this table displays the results of part-time employment among population aged 15 and over who worked in 2010. the information is grouped by age group (appearing as row headers), women, men, visible minority and not a visible minority, calculated using percentage units of measure (appearing as column headers)",아니오
810c706ff53b4354f9608002319683b9,"overall, what was the percentage of visible minority women and girls living in a low-income situation?",771,"this table displays the results of prevalence of low income. the information is grouped by low income (appearing as row headers), total, canadian-born, immigrant, female and male, calculated using percentage units of measure (appearing as column headers)",751,"distribution of visible minority females in selected municipalities in the census metropolitan areas of toronto, vancouver, montreal, and calgary, canada, 2011",아니오
89bab78aee8ef8065330506d7128f3f6,what was the percentage of the injuries occurred only once during the previous 12 months?,557,"factors involved in tanning equipment use, household population aged 12 or older, canada excluding territories, 2014",1057,"health risk behaviours, by sexual orientation and gender, canada, 2018",아니오
8db22461be5d09fe27d62d3b758fad97,what was the peak chart position on the us200 of the album roses?,120_totto14023-2,Rufus Wainwright discography: studio albums,69_totto7963-4,Against Me! discography: singles,아니오
8e41bf48220d3ec31e7eb2367c58d82d,what was the percent of seniors aged 65 to 74 cared to a spouse?,565,"relationship between the caregiver and their primary care receiver, by caregiver's age, 2018",1631,"primary caregiver of seniors who received unpaid help in the last 12 months, by age group and sex, canada, 2012",아니오
a8cb77d327fed6ce680ed7ad883b9814,what was the percentage of male ecpas who were from south asia?,1534,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",1404,"percentage distribution of immigrant landing file cohort, by sex, age group, immigration category, landing year, and source world region",아니오
b2159bd13b094c55c37ac20154b4f3db,how many thousand dollars did expenditures funded by business-funded r&d increase to in fy 2012?,56_173_tab1,"higher education r&d expenditures, by source of funds: fys 2010-12",55_167_tab03,"total r&d expenditures at federally funded research and development centers, by character of work and ffrdc: fy 2012",아니오
b8b332eb07c52c9c44666293f5ea8e2b,what percent of individuals aged 60 years old on average are immigrants?,2062,descriptive statistics,729,"estimated population aged 25 to 64 with at least a bachelor's degree, 2001 to 2016",아니오
b996440119231357e1e3334a12cb2b64,what is the overall percentage of perfectly matched postal codes?,626,performance of imputation for experiments a and b,2022,"percentage of the canadian population matched to one dissemination area or more than one dissemination area in the postal code conversion file plus, by postal code characteristics",아니오
c04336aaa39d30cba448c6a4ae017745,what was the percentage of wholesalers exported in 2011 and 2012?,212,import or export participation rates of firms in the manufacturing and wholesale trade sectors,2439,"note 1 of cannabis by wholesalers, october 2018 to september 2019, canada",아니오
c16818cb84fdc3c87a1eeec3037e1b4b,what was the percentage of female correctional workers employed in the criminal justice system in 2011?,349,,347,"admissions to youth correctional services by type of supervision and jurisdiction, 2014/2015",아니오
c53375d3ec90313b7c70f6b6502769c4,what was the national quarterly rate at two times?,1644,"victims of police-reported sexual assault, by quarterly #metoo period and census metropolitan area, canada, 2016 and 2017",1553,"frequency at which people follow news and current affairs, 2003 and 2013",아니오
c71c045bac9ce9e5604a95f9b1688676,how many games did grogan finished with?,255_totto28913-0,List of New England Patriots starting quarterbacks: statistics,306_totto35002-0,Steve Grogan: regular season,아니오
cb0de475ffbb8a36ea561a85a4a73cba,what is the individuals'average age?,460,summary statistics of sample,2062,descriptive statistics,아니오
cb8a4498d559394b4617f5775e1315fd,what was the percentage of male skilled workers were university graduates (bachelor's degree or more)?,1534,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",729,"estimated population aged 25 to 64 with at least a bachelor's degree, 2001 to 2016",아니오
d3b16e0a68b172cf22ba780ddacc0dc0,what was the percentage of female ecpas were from east asia?,1534,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",1404,"percentage distribution of immigrant landing file cohort, by sex, age group, immigration category, landing year, and source world region",아니오
d7848bd4a92822affd40df34e647de7d,what is the participation rate in 2007?,1852,,212,import or export participation rates of firms in the manufacturing and wholesale trade sectors,아니오
d7fd608ab5aac14a5bb51ede2bff65ac,what was the percentage points were they less likely to be employed full time?,1676,estimated relationship between teacher job characteristics and private high school employment,609,,아니오
e1717106e44ab2792531adc4e4f23a94,what was the percent of the national rate of major assault (level 2 and 3) increased in 2019 for the fifth consecutive year due to higher rates of assault with a weapon or causing bodily harm (level 2)?,1337,"police-reported crime for selected offences, by province or territory, 2019",1336,"police-reported crime for selected offences, canada, 2018 and 2019",아니오
ede09a0429b207bcb49ec381eac1bf77,how many percent of caregivers living with their care receiver helped a woman?,2481,"characteristics of primary care receivers care facility (ref.), supportive housing, at home, separate households and at home, shared household, calculated using number (in thousands) and percentage units of measure (appearing as column headers)",565,"relationship between the caregiver and their primary care receiver, by caregiver's age, 2018",아니오
f5719a1bbf54e674764f458348ac13ae,what was the percentage of female ecpas were from southeast asia?,1534,"selected characteristics of economic class principal applicants in linked immigrant landing file (1980 through 2006)-discharge abstract database (2006/2007 through 2008/2009) and canadian-born in linked 2006 census-discharge abstract database, by sex, population aged 25 to 74, canada excluding quebec and territories",895,"voting rates in federal elections by country or region of birth and by sex, 2011 and 2015",아니오
