no,doc_uid,first_paragraph_200,company_in_first_paragraph,company_anywhere_first3
35,58dd197754ac4d3ba9c6dfea157283b7,AMERICAN TOWER CORPORATION AND SUBSIDIARIES NOTES TO CONSOLIDATED FINANCIAL STATEMENTS acquisition accounting upon closing of the acquisition.,AMERICAN TOWER CORPORATION,"AMERICAN TOWER CORPORATION | CED California Holdings Financing I, LLC"
36,08e4c6c1e8c24c7bb40db5bcc8e07f36,"Table 46 - Selected Quarterly Financial Information (1) (dollar amounts in thousands, except per share amounts)",,
37,4edd6ca371b349499f7bc0a898487acb,"Note 5 – Fair value option In February 2007, the FASB issued SFAS 159, which is effective for fiscal years beginning after November 15, 2007, with early adoption permitted.",,
38,575ce50656a7400987d91ceb852d9402,"Table of Contents In March 2008, the FASB issued SFAS No.161, Disclosures about Derivative Instruments and Hedging Activities—an amendment of FASB Statement No.133, which requires companies to provide",,
39,63ee6b1a2b164d64b0a0963fdebabe5b,on the underlying exposure.,,
40,0d69b2d63bfc405094a27a7542c468da,The following table lists each of Con Edison of New York’s other Superfund sites for which the company anticipates it may have a liability.,,"EDWARDS LIFESCIENCES CORPORATION | PCB Treatment, Inc."
41,90799d87ace54e8e9374a3e7bec59463,"CITIZENS FINANCIAL GROUP, INC. NOTES TO CONSOLIDATED FINANCIAL STATEMENTS 192 The qualified plan's allocation by asset category is as follows:","CITIZENS FINANCIAL GROUP, INC.","CITIZENS FINANCIAL GROUP, INC. | Aearo Holding Corp."
42,2ae38d710c0e4cf697d184b35b1dcf17,13.,,"AMERICAN INTERNATIONAL GROUP, INC. | Tata AIG Life Insurance Company Limited | Delphi Automotive PLC"
43,24e252d9d81346d4aa8f1710f0a87c01,"THE HARTFORD FINANCIAL SERVICES GROUP, INC. NOTES TO CONSOLIDATED FINANCIAL STATEMENTS (continued) 18.","HARTFORD FINANCIAL SERVICES GROUP, INC.","HARTFORD FINANCIAL SERVICES GROUP, INC."
44,06e53828b8f44c38b0ddb58c0b89c2ff,"ADOBE SYSTEMS INCORPORATED NOTES TO CONSOLIDATED FINANCIAL STATEMENTS (Continued) 70 We review our goodwill for impairment annually, or more frequently, if facts and circumstances warrant a review.",ADOBE SYSTEMS INCORPORATED,"ADOBE SYSTEMS INCORPORATED | CITIZENS FINANCIAL GROUP, INC."
45,31c3396e5eb846bbbef911f1c637b013,"Notes to Consolidated Financial Statements (Dollars in thousands, except share and per share amounts and where indicated as in millions or billions) Allowance for Credit Losses We record a provision f",,
46,7d0d0101c9924a8f9f4070e3cca7a05d,"MANAGEMENT’S DISCUSSION AND ANALYSISOF FINANCIAL CONDITION AND RESULTS OF OPERATIONS Indemnification Provisions:In addition, the Company may provide indemnifications for losses that resultfrom the bre",,
47,aa880e2d6d5d422aac0272d72301632e,"On May 20, 2015, Aon plc issued $600 million of 4.750% Senior Notes due May 2045.",Aon plc,"Aon plc | Aon Corporation | D. R. HORTON, INC."
48,432268fc9b6f444892e9444d01abb7c2,PART?I?,,Bank of America Corporation | Merrill Lynch & Co. | Thereafter Total Bank of America Corporation
49,2314d089cd1e4e46b82baffba8c42232,BANK OF AMERICA CORPORATION AND SUBSIDIARIES Notes to Consolidated Financial Statements—(Continued) Note 4—Trading Account Assets and Liabilities The Corporation engages in a variety of trading-relate,BANK OF AMERICA CORPORATION,BANK OF AMERICA CORPORATION
50,62ad8d9cfad14d2fb33c27dfe3681afb,"AMERICAN TOWER CORPORATION AND SUBSIDIARIES NOTES TO CONSOLIDATED FINANCIAL STATEMENTS The allocation of the purchase price was finalized during the year ended December 31, 2012.",AMERICAN TOWER CORPORATION,AMERICAN TOWER CORPORATION
