번호,query_id,질문,기간 있음,사람 (가),(나),조각 수,질문에 모두 있음,모든 조각을 담은 단위 수,정답 단위 포함,검증
17,96ad5e390bc44b9eaaac8ad1d2e715fa,"What's the sum of Home equity of December 31 2010 Amount, U.S. commercial of December 31, 2011 Due AfterOne YearThroughFive Years, and Total selected loans of December 31, 2011 Total ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
18,ffbf5d1d02ee4233bf0f5db797bd69ff,What is the average increasing rate of Policy loans for amountbetween 2015 and 2016?,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
19,16380b388112475d94cb58caaf4dcd35,"What's the average of Net income of WMI, and Commodity of Denominator 2008 ?",예,예,WMI,1,예,1,예,예
20,7492c5db8e6644baace30169ca9e6480,"What's the sum of Counterparty netting in tenors of Less than 1 Year, and Service of Year Ended December 31, 2012 Consolidated ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
21,c8ecc9d08c51485681a832ff1673e992,"Which section does Long-term debt, principal and interest payments reach the largest value?",아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
22,e1ebffff61304d759ca9d03e2d6fe788,"What is the growing rate of Earnings, as reported for Continuing Operations in the year Ended December 31 with the most Pro forma earnings for Continuing Operations?",아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
23,4a8851080a65447c897b0a614edf9966,"What is the sum of Premiums of Percentage Change 2016, Munich Reinsurance Group of Companies of Uncollateralized Reinsurance Assets, and Net investment income of Percentage Change 2016 ?",예,아니오,Munich Reinsurance Group of Companies는 재보험 거래상대방 단서이며 보고 문서의 주체는 명시되지 않음,,,,,해당 없음
24,d66fb92b70884aac9bbd50ac0b23b9f7,Does ASO keeps increasing each year between 2011and 2012?,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
25,de5643f0618a46ea85061792664a21c7,What was the total amount of Nonperforming loans in the range of 100 and 500 in 2015? (in million),예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
26,a6b596766aaf469e8b778cb328d4f57d,"What is the sum of Adjustments to reserves of At December 31, 2015, and Attritional of Years Ended December 31, Current Year ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
27,fd56d815c1fb40988d3f7f53b6c9b4f1,what was the percentage difference of earnings per share 2013 basic pro forma compared to earnings per share 2013 diluted pro forma in 2005?,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
28,3c99b504b4ad4b56973c31bea1f42724,What is the sum of the Other assets in the years where Accrued investment income greater than 0?,아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
29,4803d9132b304c95990d900834ad7e06,What's the sum of the Operating expenses in the year where the amount of Sales and marketing is positive? (in dollars),아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
30,2f07d38f1bdd4281ac24f7b621c8d6a4,Which year is Credit the highest for Not designated as hedges?,아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
31,c174baeec53440e49fdc8599981d5260,"What is the average value of Cash and due from banks of Noninterest-earning assets in 2008, 2007, and 2006 for Average Balances? (in million)",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
32,786f5358d46249d3ac0edaca3e642059,What will (12694-12109)/12109 reach in 2013 if it continues to grow at its current rate?,예,아니오,(12694-12109)/12109; 2013 — 수치의 대상 지표와 기업 없음,,,,,해당 없음
33,8040271c4c4b434ea69420393f09f607,"In the year with largest amount of Qualifying non-controlling interests, what's the increasing rate of Qualifying non-controlling interests?",아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
34,5f34ab2f4f324d1580d87278199d62d2,What is the column number of the section where Revenues of Operations is the most?,아니오,아니오,Revenues of Operations; column number — 표를 가리키지만 기업·문서명 없음,,,,,해당 없음
35,599300005b5e4b99b4fdff1e8927cd11,what is the percent change in asset purchase agreements between 2008 and 2009?,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
36,7cc8df78aa9441caac3bcfbafadc65f4,"In the year with the most Pretax segment income, what is the growth rate of interest expense?",아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
37,06d557aedfdd404997fcea17fc77515a,"What's the sum of Cash, cash equivalents and marketable securities of December 31, 2016, and Net income of 2008 ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
38,9cc09f700f174de1a95d266a8299dd01,"What is the average amount of Income taxes of 2008, and Operating lease obligations of Contractual obligations by year 2009 ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
39,847cc764f26b45398ffa9e8027145dac,"In the quarter of 2014 with highest Operating profit, what's the sum of Net revenues?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
40,cc117dadefbb4222aef515e01e537c10,what was the percentual increase in the additions during 2004 and 2005?,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
41,5efebf7c23864200ab2382aedd3d55e2,"What's the average of Cash collateral and counterparty netting of As of December 2013, and Financial instruments owned, at fair value of Institutional Client Services ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
42,0bed2e9e733e409db6f6895a1ce8b906,What was the average value of the Less than six months of Equity Securities in the year where Less than six months of Fixed Maturity Securities is positive? (in million),아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
43,220f5a32959440348d4308ad64cd8770,What's the average of the Net income for Earnings per common share in the years where aximum loss exposure-2 for Multi-Seller Conduits is greater than 0? (in thousand),아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
44,42474e26025b47af960481f999a6beed,"What is the total amount of Option proceeds of 2013* Shares, Future policy benefits of At December 31, 2014 Consolidated, and Total of 2012* Amount ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
45,cdebb32d228641f8b30d8108d220c24b,What's the 18% of total elements for Closed BlockDivision of Amout ? (in million),아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
46,8b8888a1c482461ebd8f005c22a4f544,What will Residential of Revenues reach in 2009 if it continues to grow at its 2008 rate? (in million),예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
47,f8a793070b4343e1a6ed44b35a082b7c,What's the greatest value of Dec 31 in 2018? (in thousand),예,아니오,Dec 31; 2018 — 대상 지표와 기업 없음,,,,,해당 없음
48,b1cc56aec91846c0892b51d4c064eb4c,The Total pension plan assets at fair value. of which level ranks first?,아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
49,40bc229bb1f9408e9fccdf7a6dfca149,"what is the highest total amount of Other income, net?",아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
50,97f916a6dd09487daa6eb8f02318a985,What's the increasing rate of Operating profit in 2011 Ended December 31?,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
51,fa0e71290e6b41a091950e81221c1e81,what is the rate of return of an investment in s&p500 inc from 2001 to 2005?,예,아니오,s&p500; 2001 to 2005 — 지수와 기간만 있고 보고 기업 없음,,,,,해당 없음
52,283da5d0ea894aa8af920bd998302dcd,What is the proportion of Midwest to the total in 2005?,예,아니오,Midwest; 2005 — 지역과 연도만 있고 대상 지표·기업 없음,,,,,해당 없음
53,cb61e6a743894cb896f8aed9d647e232,Does the value of Senior debt for Citigroup Inc in 2016 greater than that in 2017?,예,예,Citigroup Inc; 2016; 2017,3,예,16,예,아니오
54,37eb24295784465a9cd7d8f83ef14a67,In which years is First Quarter greater than Fourth Quarter (for EntergyArkansas?,아니오,예,EntergyArkansas,1,예,2,예,아니오
55,93a6698302474f74a44dfa5f2a983a2e,what is the roi of an investment in nasdaq composite index from march 2010 to march 2013?,예,아니오,nasdaq composite index; march 2010 to march 2013 — 지수와 기간만 있고 보고 기업 없음,,,,,해당 없음
56,3a5fb8ac19ff4ce4956b4cb01003c6da,"What do all Cost sum up, excluding those negative ones in 2018? (in thousand)",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
57,3adf4627018f45e49b1f4d2f706c2e40,What's the average of Senior notes in 2018? (in million),예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
58,413eab2a4e174c6f85be5e47cb9fdfed,"What is the average amount of Franchise offices of 2008, and Tangible equity ratio of Actual Amount ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
59,4781156a9730440a89ae5f58b92be0a8,What will Mortgage and real estate In U.S. offices reach in 2019 if it continues to grow at its current rate? (in millions),예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
60,1f80a126a1e449468297bee6fda77377,"What is the total amount of Ending balance of 2011, and Accounts payable and accrued expenses ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
61,8785f2136fd9405b8a38ae11b3f5cbc0,what is the total texas facilities square footage?,아니오,아니오,texas facilities — 지역만 있고 시설 보유 기업 없음,,,,,해당 없음
62,11975f6f21fd45109c9869b4887d8e57,What is the percentage of other current assets in relation to the total in 2019 ? (in %),예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
63,cf6a8029d4474577b0b91b1f4c120683,What will Total liabilities reach in 2015 if it continues to grow at its current rate? (in million),예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
64,190d3e2ec5c44cfdb0b13ef315680f5b,"In the section with lowest amount of Net sales, what's the increasing rate of Gross profit?",아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
65,a92d0f9216e14d36b56d04196a4817aa,What is the growing rate of U.S. pension benefit plans in the year with the most Non-U.S. pension benefit plans? (in %),아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
66,56c553add69644308a6b7d88dedb8fdb,"If Amortized Costdevelops with the same increasing rate in 2009, what will it reach in 2010? (in million)",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
67,667ae1df26234b989f21459612492eff,What is the percentage of Rental revenues-1 in relation to the total in 2016?,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
68,70f9ad1ee4ba4c45aff98550930ba274,"In the year / section with lowest amount of Midwest in Value (In millions), what's the increasing rate of East in Value (In millions)?",아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
69,9ef8b3799c3e4196b49789b099e64cb5,"What is the average amount of Brokerage, clearing, exchange anddistribution fees of Year Ended December 2010, and Apartment house of Year Ended December 31, 2014 ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
70,f1e83a392d6c4b38b8a8d39765d6a646,Which element continue to rise between 2006 and 2007?,예,아니오,Which element; 2006 and 2007 — 대상 항목과 기업 없음,,,,,해당 없음
71,11125fc9dfdf4a779d02d24b075a1f6e,What is the proportion of the Outstanding of Ohio to the Outstanding of Total in 2008?,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
72,fb0ee92b51ef478887e6c7039ca5ac3c,"What is the sum of Year-end balance, Average during year and Maximum month-end balance during year in 2008? (in million)",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
73,289abaffdaef46e78f4c35486b7e7712,"what's the total amount of Life science/healthcare of December 31, 2016 Ten to TwentyMillion, and Hardware of December 31, 2017 Twenty to Thirty Million ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
74,2f8e2dca1da64f2982373d0d1bbf339b,"What is the average amount of Caterpillar dealer performance guarantees of 2016, and Restructuring costs of Twelve Months Ended December 31, 2016 ?",예,예,Caterpillar dealer performance guarantees; 2016,5,예,1,예,예
75,819b894a2dfd41ffa545a68c2996b8f9,"What's the Gross Unrealized Gains for Total public equity at December 31, 2009? (in million)",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
76,26f55714ce0647e4a83589aa3027e9a1,"What is the difference between the greatest Volume in First Quarter, 2008 and Second Quarter, 2008？",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
77,2beedea02df34febac63a0d310b5f5fa,"What is the percentage of all 1.5X to <1.8X that are positive to the total amount, in Debt Service Coverage Ratio?",아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
78,ca8078a1f620428cb71cd113e5612d7e,what was the percentage decline in the value of the intangible assets from 2011 to 2012,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
79,d5f5d2a55399406aba3b71232a6ce05a,What is the ratio of Gradual change to the total for U.S. dollar in 2010 for Increase?,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
80,18e0dd6fb29c4caca623bac745f4fe1f,what was the percentage increase in the net outflows from 2016 to 2017,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
81,da79a45d8a834d89a34a226913fb1ed5,What's the total amount of derivative assets/liabilities excluding Less: Cash collateral applied and Less: Legally enforceable master netting agreements in 2008? (in dollars in billions),예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
82,53248fb12efd4e0e859c48764a9efc91,What's the total amount of the Revenues in the years where Net earnings is greater than 170? (in millions),아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
83,519da28e6c024e078caf03309f49d8f5,by what percentage did asset retirement obligations decrease from 2007 to 2008?,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
84,ee2e7137315e436faba4eee2b5848f77,What will Latin America for revenue reach in 2011 if it continues to grow at its current rate? (in million),예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
85,bec5e87e24c048718f1040de2d336bf7,When does operating income of electric reach the largest value?,아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
86,a7ae9d2e84fc4c359cd7f6a527c97984,In which section the sum of rading account assets supporting insurance liabilities has the highest value?,아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
87,92604a4d774b40cfbc7cf3b96821566c,In which year is Securities borrowed or purchased under agreements to resell for Gross Assets/Liabilities positive?,아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
88,1d9f779df01d4eecb319477ef4dcbd60,Which section is Individual Life and Annuities the highest?,아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
89,3392375161b74188a831efeec4b63de1,"What is the sum of Systemwide restaurants of 2007, Operating income of 2006, and Buildings and improvements on owned land of 2008 ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
90,0f36edc932154f208434a115945e1d14,What will the Total fair value of vested awards distributed for Stock-Settled Awards reach in 2016 if it continues to grow at its current rate?,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
91,8234de0c712545adb3b7fad00617d14d,What is the difference between the greatest Residential mortgage in Fourth Quarter 2007 and Third Quarter 2007？ (in million),예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
92,3715112318b04018ba2fda5481d4f3b4,"what's the total amount of CNA Financial of Principal, Commercial real estate Loans and leases charged off of 2009, and Credit card – domestic Loans and leases charged off of 2008 ?",예,아니오,CNA Financial은 Principal 항목의 대상이며 나머지 대출 상각 항목의 보고 주체는 명시되지 않음,,,,,해당 없음
93,9f07a70f6ded44758a675511c96d0a3c,what was the percentage change in cash provided by operating activities from 2013 to 2014?,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
94,ec0a4a0602d94f31be9e903c4175373b,"What's the sum of Other of December 31, 2013 Net Balance Sheet Amount, and Medical and Scientific Imaging of 2011 ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
95,b2a55b02bf2e4ac1b68306ed60c0555f,What will Firm transportation Revenues reach in 2013 if it continues to grow at its current rate? (in million),예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
96,97210385eb1544da84df27548f9c3ef9,what was the percentage increase in the total assets from 2007 to 2008,예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
97,ab16bbbacefb4e90a89b3ad334663499,what is the total number of restricted units expected to vest in the upcoming years?,아니오,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
98,8b4a0a9346f54787b841d6985e39e933,What was the total amount of elements for Period End greater than 80 in 2012 ? (in million),예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
99,6144d84a07744eb18ab10cd1ca5c97b2,What will East of Homes in Backlog be like in 2015 if it develops with the same increasing rate as 2014? (in million),예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
100,759ed69efebd4f26993879f4b6b93690,"what's the total amount of Nonvested at December 31, 2015 of Performance Share Units ShareUnits, and Full service Firm Sales of Year Ended December 31, 2009 ?",예,아니오,없음 — 질문에 기업명·문서명 등 문서 식별 단서가 명시되지 않음,,,,,해당 없음
