번호,query_id,질문,기간 있음,사람 (가),(나),조각 수,질문에 모두 있음,모든 조각을 담은 단위 수,정답 단위 포함,검증
26,b2159bd13b094c55c37ac20154b4f3db,how many thousand dollars did expenditures funded by business-funded r&d increase to in fy 2012?,예,아니오,해당 없음,,,,,해당 없음
27,b8b332eb07c52c9c44666293f5ea8e2b,what percent of individuals aged 60 years old on average are immigrants?,아니오,아니오,해당 없음,,,,,해당 없음
28,b996440119231357e1e3334a12cb2b64,what is the overall percentage of perfectly matched postal codes?,아니오,아니오,해당 없음,,,,,해당 없음
29,c04336aaa39d30cba448c6a4ae017745,what was the percentage of wholesalers exported in 2011 and 2012?,예,예,wholesalers exported; 2011 and 2012,4,예,0,아니오,아니오
30,c16818cb84fdc3c87a1eeec3037e1b4b,what was the percentage of female correctional workers employed in the criminal justice system in 2011?,예,예,female correctional workers; criminal justice system; 2011,6,예,0,아니오,아니오
31,c53375d3ec90313b7c70f6b6502769c4,what was the national quarterly rate at two times?,아니오,아니오,해당 없음,,,,,해당 없음
32,c71c045bac9ce9e5604a95f9b1688676,how many games did grogan finished with?,아니오,아니오,해당 없음,,,,,해당 없음
33,cb0de475ffbb8a36ea561a85a4a73cba,what is the individuals'average age?,아니오,아니오,해당 없음,,,,,해당 없음
34,cb8a4498d559394b4617f5775e1315fd,what was the percentage of male skilled workers were university graduates (bachelor's degree or more)?,아니오,예,male skilled workers; university graduates (bachelor's degree or more),8,예,0,아니오,아니오
35,d3b16e0a68b172cf22ba780ddacc0dc0,what was the percentage of female ecpas were from east asia?,아니오,예,female ecpas; east asia,4,예,0,아니오,아니오
36,d7848bd4a92822affd40df34e647de7d,what is the participation rate in 2007?,예,아니오,해당 없음,,,,,해당 없음
37,d7fd608ab5aac14a5bb51ede2bff65ac,what was the percentage points were they less likely to be employed full time?,아니오,아니오,해당 없음,,,,,해당 없음
38,e1717106e44ab2792531adc4e4f23a94,what was the percent of the national rate of major assault (level 2 and 3) increased in 2019 for the fifth consecutive year due to higher rates of assault with a weapon or causing bodily harm (level 2)?,예,아니오,해당 없음,,,,,해당 없음
39,ede09a0429b207bcb49ec381eac1bf77,how many percent of caregivers living with their care receiver helped a woman?,아니오,예,caregivers living with their care receiver; helped a woman,6,예,0,아니오,아니오
40,f5719a1bbf54e674764f458348ac13ae,what was the percentage of female ecpas were from southeast asia?,아니오,예,female ecpas; southeast asia,4,예,0,아니오,아니오
