experiment,model,split,qid,condition,correct,got_gold,pred,gold
interaction,llama-8b,flat,2-18750429-4,flat_values,0,1,Andrea Koch Benvenuto,['Aschaffenburg']
interaction,llama-8b,flat,2-18750429-4,flat_leaf,1,1,Aschaffenburg,['Aschaffenburg']
interaction,llama-8b,flat,2-18750429-4,header_path,1,1,Aschaffenburg,['Aschaffenburg']
interaction,llama-8b,flat,2-1637041-2,flat_values,0,1,1,['0']
interaction,llama-8b,flat,2-1637041-2,flat_leaf,1,1,0,['0']
interaction,llama-8b,flat,2-1637041-2,header_path,1,1,0,['0']
interaction,llama-8b,flat,2-10790510-17,flat_values,1,1,12.16 (88),['12.16 (88)']
interaction,llama-8b,flat,2-10790510-17,flat_leaf,1,1,12.16 (88),['12.16 (88)']
interaction,llama-8b,flat,2-10790510-17,header_path,1,1,12.16 (88),['12.16 (88)']
interaction,llama-8b,flat,2-17702976-1,flat_values,1,1,Foolad Shahr,['Foolad Shahr']
interaction,llama-8b,flat,2-17702976-1,flat_leaf,1,1,Foolad Shahr,['Foolad Shahr']
interaction,llama-8b,flat,2-17702976-1,header_path,1,1,Foolad Shahr,['Foolad Shahr']
interaction,llama-8b,flat,2-18394791-5,flat_values,1,1,Poulter,['Poulter']
interaction,llama-8b,flat,2-18394791-5,flat_leaf,1,1,Poulter,['Poulter']
interaction,llama-8b,flat,2-18394791-5,header_path,1,1,Poulter,['Poulter']
interaction,llama-8b,flat,1-16066063-1,flat_values,1,1,São Paulo,['São Paulo']
interaction,llama-8b,flat,1-16066063-1,flat_leaf,1,1,São Paulo,['São Paulo']
interaction,llama-8b,flat,1-16066063-1,header_path,1,1,São Paulo,['São Paulo']
interaction,llama-8b,flat,2-15302438-2,flat_values,0,1,December 19,['1–3–0']
interaction,llama-8b,flat,2-15302438-2,flat_leaf,0,1,13–15–5,['1–3–0']
interaction,llama-8b,flat,2-15302438-2,header_path,0,1,13–15–5,['1–3–0']
interaction,llama-8b,hier,fe6407e2459997d5f135e8a88892a049,flat_values,0,1,79.0,['men']
interaction,llama-8b,hier,fe6407e2459997d5f135e8a88892a049,flat_leaf,0,1,female,['men']
interaction,llama-8b,hier,fe6407e2459997d5f135e8a88892a049,header_path,1,1,men,['men']
interaction,llama-8b,hier,03e2e33b61115022766eba43568f2a2d,flat_values,0,1,0,['264.0']
interaction,llama-8b,hier,03e2e33b61115022766eba43568f2a2d,flat_leaf,0,1,2,['264.0']
interaction,llama-8b,hier,03e2e33b61115022766eba43568f2a2d,header_path,0,1,55,['264.0']
interaction,llama-8b,hier,76958999926314d82b80a5b39f21ed76,flat_values,0,1,78.2,['83.0']
interaction,llama-8b,hier,76958999926314d82b80a5b39f21ed76,flat_leaf,1,1,83.0,['83.0']
interaction,llama-8b,hier,76958999926314d82b80a5b39f21ed76,header_path,0,1,78.2,['83.0']
interaction,llama-8b,hier,76863f9b68412109d717820bb24dc71a,flat_values,0,1,80.9,['filipino']
interaction,llama-8b,hier,76863f9b68412109d717820bb24dc71a,flat_leaf,0,1,82.0,['filipino']
interaction,llama-8b,hier,76863f9b68412109d717820bb24dc71a,header_path,0,1,81.7,['filipino']
interaction,llama-8b,hier,8d3373fa0c42ed9d0fa3af23548d1e28,flat_values,0,1,79.0,['25.3']
interaction,llama-8b,hier,8d3373fa0c42ed9d0fa3af23548d1e28,flat_leaf,0,1,59.0,['25.3']
interaction,llama-8b,hier,8d3373fa0c42ed9d0fa3af23548d1e28,header_path,1,1,25.3,['25.3']
interaction,llama-8b,hier,7615f60fffd339c61c4b9181ccaeeadd,flat_values,0,1,20.2,['other services']
interaction,llama-8b,hier,7615f60fffd339c61c4b9181ccaeeadd,flat_leaf,0,1,health care and social assistance,['other services']
interaction,llama-8b,hier,7615f60fffd339c61c4b9181ccaeeadd,header_path,0,1,health care and social assistance,['other services']
interaction,llama-8b,hier,2b46cca80468a08a89b4679e726b92be,flat_values,0,1,10.8,['39.6']
interaction,llama-8b,hier,2b46cca80468a08a89b4679e726b92be,flat_leaf,0,1,22.3,['39.6']
interaction,llama-8b,hier,2b46cca80468a08a89b4679e726b92be,header_path,0,1,22.3,['39.6']
interaction,llama-8b,hier,c81134db64a98f22e28cddfb7de0a1a5,flat_values,0,1,213,['641.0']
interaction,llama-8b,hier,c81134db64a98f22e28cddfb7de0a1a5,flat_leaf,0,1,611,['641.0']
interaction,llama-8b,hier,c81134db64a98f22e28cddfb7de0a1a5,header_path,1,1,641 + 224 + 49 + 48 + 92 + 35 + 38 + 130,['641.0']
interaction,llama-8b,hier,c486681bfdc34de8cf73363a0e33bc8a,flat_values,0,1,4938.0,['1426352.0']
interaction,llama-8b,hier,c486681bfdc34de8cf73363a0e33bc8a,flat_leaf,0,1,none,['1426352.0']
interaction,llama-8b,hier,c486681bfdc34de8cf73363a0e33bc8a,header_path,0,1,There is no information about the number,['1426352.0']
interaction,llama-8b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,flat_values,1,1,14.29,['14.29']
interaction,llama-8b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,flat_leaf,0,1,3:43.62,['14.29']
interaction,llama-8b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,header_path,1,1,14.29,['14.29']
interaction,llama-8b,hier,47d85b7882f9f3eaa0ef0096a5468423,flat_values,0,1,11,['3.0']
interaction,llama-8b,hier,47d85b7882f9f3eaa0ef0096a5468423,flat_leaf,1,1,3,['3.0']
interaction,llama-8b,hier,47d85b7882f9f3eaa0ef0096a5468423,header_path,1,1,3,['3.0']
interaction,llama-8b,hier,da4ddf61de0f34ee83b7829102ffe6d9,flat_values,0,1,55.0,['15 to 19']
interaction,llama-8b,hier,da4ddf61de0f34ee83b7829102ffe6d9,flat_leaf,0,1,39.0,['15 to 19']
interaction,llama-8b,hier,da4ddf61de0f34ee83b7829102ffe6d9,header_path,0,1,91.0,['15 to 19']
interaction,llama-8b,hier,9aacfbb741d62de704b6e88938389c40,flat_values,0,1,There is not enough information in the t,['women']
interaction,llama-8b,hier,9aacfbb741d62de704b6e88938389c40,flat_leaf,1,1,women,['women']
interaction,llama-8b,hier,9aacfbb741d62de704b6e88938389c40,header_path,1,1,women,['women']
interaction,llama-8b,hier,1972155590794ace1ebadbc045332edb,flat_values,0,1,11.3,['government-assisted refugees']
interaction,llama-8b,hier,1972155590794ace1ebadbc045332edb,flat_leaf,0,1,47.0,['government-assisted refugees']
interaction,llama-8b,hier,1972155590794ace1ebadbc045332edb,header_path,1,1,Government-assisted refugees,['government-assisted refugees']
interaction,llama-8b,hier,b490e86698ea52bec432fd2c062eded2,flat_values,1,1,14.4,['14.4']
interaction,llama-8b,hier,b490e86698ea52bec432fd2c062eded2,flat_leaf,1,1,14.4,['14.4']
interaction,llama-8b,hier,b490e86698ea52bec432fd2c062eded2,header_path,1,1,14.4,['14.4']
interaction,llama-8b,hier,a080b456f9a596237e7683fce6d819d9,flat_values,0,1,238768 + 64104 + 13659 + 12920 + 12712 +,['0.681511']
interaction,llama-8b,hier,a080b456f9a596237e7683fce6d819d9,flat_leaf,0,1,238768,['0.681511']
interaction,llama-8b,hier,a080b456f9a596237e7683fce6d819d9,header_path,0,1,10,['0.681511']
interaction,llama-8b,hier,550428282b3a554a8ff831f7149e00bc,flat_values,0,1,-24,['128.0']
interaction,llama-8b,hier,550428282b3a554a8ff831f7149e00bc,flat_leaf,0,1,213,['128.0']
interaction,llama-8b,hier,550428282b3a554a8ff831f7149e00bc,header_path,1,1,128.0,['128.0']
interaction,llama-8b,hier,ae9c91e2b72da1948845d2b9c96be1f1,flat_values,0,1,0.0,['5.5']
interaction,llama-8b,hier,ae9c91e2b72da1948845d2b9c96be1f1,flat_leaf,0,1,2.7,['5.5']
interaction,llama-8b,hier,ae9c91e2b72da1948845d2b9c96be1f1,header_path,0,1,2.7 + 1.4 = 4.1,['5.5']
interaction,llama-8b,hier,26307595388ef79a529bd08519ff0fa2,flat_values,0,1,0.21,['high school diploma']
interaction,llama-8b,hier,26307595388ef79a529bd08519ff0fa2,flat_leaf,0,1,0.32,['high school diploma']
interaction,llama-8b,hier,26307595388ef79a529bd08519ff0fa2,header_path,0,1,0.28,['high school diploma']
interaction,llama-8b,hier,2802b5a96c112c97d86cf16d30653006,flat_values,0,1,0.0,['48.2']
interaction,llama-8b,hier,2802b5a96c112c97d86cf16d30653006,flat_leaf,0,1,65.5,['48.2']
interaction,llama-8b,hier,2802b5a96c112c97d86cf16d30653006,header_path,1,1,48.2,['48.2']
interaction,gpt-oss-120b,flat,1-2618152-1,flat_values,1,1,E0214,['E0214']
interaction,gpt-oss-120b,flat,1-2618152-1,flat_leaf,1,1,E0214,['E0214']
interaction,gpt-oss-120b,flat,1-2618152-1,header_path,1,1,E0214,['E0214']
interaction,gpt-oss-120b,flat,1-11964047-5,flat_values,1,1,93–113,['L 93–113']
interaction,gpt-oss-120b,flat,1-11964047-5,flat_leaf,1,1,L 93–113,['L 93–113']
interaction,gpt-oss-120b,flat,1-11964047-5,header_path,1,1,L 93–113,['L 93–113']
interaction,gpt-oss-120b,flat,2-17371250-13,flat_values,1,1,Kelowna Rockets ( WHL ),['Kelowna Rockets ( WHL )']
interaction,gpt-oss-120b,flat,2-17371250-13,flat_leaf,1,1,Kelowna Rockets ( WHL ),['Kelowna Rockets ( WHL )']
interaction,gpt-oss-120b,flat,2-17371250-13,header_path,1,1,Kelowna Rockets ( WHL ),['Kelowna Rockets ( WHL )']
interaction,gpt-oss-120b,flat,2-17562992-3,flat_values,0,1,@ Detroit Red Wings,['23.0']
interaction,gpt-oss-120b,flat,2-17562992-3,flat_leaf,1,1,23,['23.0']
interaction,gpt-oss-120b,flat,2-17562992-3,header_path,1,1,23,['23.0']
interaction,gpt-oss-120b,flat,2-107642-1,flat_values,0,1,,['30%']
interaction,gpt-oss-120b,flat,2-107642-1,flat_leaf,0,1,,['30%']
interaction,gpt-oss-120b,flat,2-107642-1,header_path,0,1,,['30%']
interaction,gpt-oss-120b,flat,2-18283614-1,flat_values,1,1,4th,['4th']
interaction,gpt-oss-120b,flat,2-18283614-1,flat_leaf,1,1,4th,['4th']
interaction,gpt-oss-120b,flat,2-18283614-1,header_path,1,1,4th,['4th']
interaction,gpt-oss-120b,flat,2-1795208-8,flat_values,0,1,Not listed,['Winner']
interaction,gpt-oss-120b,flat,2-1795208-8,flat_leaf,1,1,Winner,['Winner']
interaction,gpt-oss-120b,flat,2-1795208-8,header_path,1,1,Winner,['Winner']
interaction,gpt-oss-120b,flat,2-16405998-1,flat_values,1,1,Snitz Snider Stadium,['Snitz Snider Stadium']
interaction,gpt-oss-120b,flat,2-16405998-1,flat_leaf,1,1,Snitz Snider Stadium,['Snitz Snider Stadium']
interaction,gpt-oss-120b,flat,2-16405998-1,header_path,1,1,Snitz Snider Stadium,['Snitz Snider Stadium']
interaction,gpt-oss-120b,flat,2-17264629-1,flat_values,1,1,1123,['1123.0']
interaction,gpt-oss-120b,flat,2-17264629-1,flat_leaf,1,1,1123,['1123.0']
interaction,gpt-oss-120b,flat,2-17264629-1,header_path,1,1,1123,['1123.0']
interaction,gpt-oss-120b,flat,1-11884814-3,flat_values,0,1,,['9.40']
interaction,gpt-oss-120b,flat,1-11884814-3,flat_leaf,1,1,9.40,['9.40']
interaction,gpt-oss-120b,flat,1-11884814-3,header_path,1,1,9.40,['9.40']
interaction,gpt-oss-120b,flat,2-18624168-2,flat_values,0,1,Not found,['Munich']
interaction,gpt-oss-120b,flat,2-18624168-2,flat_leaf,0,1,None,['Munich']
interaction,gpt-oss-120b,flat,2-18624168-2,header_path,0,1,None,['Munich']
interaction,gpt-oss-120b,flat,1-1341604-10,flat_values,1,1,Re-elected,['Re-elected']
interaction,gpt-oss-120b,flat,1-1341604-10,flat_leaf,1,1,Re-elected,['Re-elected']
interaction,gpt-oss-120b,flat,1-1341604-10,header_path,1,1,Re-elected,['Re-elected']
interaction,gpt-oss-120b,flat,2-15125204-1,flat_values,0,1,,"['Insomar', 'CSOP']"
interaction,gpt-oss-120b,flat,2-15125204-1,flat_leaf,1,1,"Insomar, CSOP","['Insomar', 'CSOP']"
interaction,gpt-oss-120b,flat,2-15125204-1,header_path,1,1,"Insomar, CSOP","['Insomar', 'CSOP']"
interaction,gpt-oss-120b,flat,2-18750429-4,flat_values,0,1,,['Aschaffenburg']
interaction,gpt-oss-120b,flat,2-18750429-4,flat_leaf,0,1,,['Aschaffenburg']
interaction,gpt-oss-120b,flat,2-18750429-4,header_path,0,1,None,['Aschaffenburg']
interaction,gpt-oss-120b,flat,2-1637041-2,flat_values,0,1,,['0']
interaction,gpt-oss-120b,flat,2-1637041-2,flat_leaf,1,1,0,['0']
interaction,gpt-oss-120b,flat,2-1637041-2,header_path,1,1,0,['0']
interaction,gpt-oss-120b,flat,2-10790510-17,flat_values,1,1,12.16 (88),['12.16 (88)']
interaction,gpt-oss-120b,flat,2-10790510-17,flat_leaf,1,1,12.16 (88),['12.16 (88)']
interaction,gpt-oss-120b,flat,2-10790510-17,header_path,1,1,12.16 (88),['12.16 (88)']
interaction,gpt-oss-120b,flat,2-17702976-1,flat_values,1,1,Foolad Shahr,['Foolad Shahr']
interaction,gpt-oss-120b,flat,2-17702976-1,flat_leaf,1,1,Foolad Shahr,['Foolad Shahr']
interaction,gpt-oss-120b,flat,2-17702976-1,header_path,1,1,Foolad Shahr,['Foolad Shahr']
interaction,gpt-oss-120b,flat,2-18394791-5,flat_values,1,1,Poulter,['Poulter']
interaction,gpt-oss-120b,flat,2-18394791-5,flat_leaf,1,1,Poulter,['Poulter']
interaction,gpt-oss-120b,flat,2-18394791-5,header_path,1,1,Poulter,['Poulter']
interaction,gpt-oss-120b,flat,1-16066063-1,flat_values,1,1,São Paulo,['São Paulo']
interaction,gpt-oss-120b,flat,1-16066063-1,flat_leaf,0,1,,['São Paulo']
interaction,gpt-oss-120b,flat,1-16066063-1,header_path,1,1,São Paulo,['São Paulo']
interaction,gpt-oss-120b,flat,2-15302438-2,flat_values,0,1,None,['1–3–0']
interaction,gpt-oss-120b,flat,2-15302438-2,flat_leaf,1,1,1–3–0,['1–3–0']
interaction,gpt-oss-120b,flat,2-15302438-2,header_path,1,1,1–3–0,['1–3–0']
interaction,gpt-oss-120b,hier,fe6407e2459997d5f135e8a88892a049,flat_values,0,1,,['men']
interaction,gpt-oss-120b,hier,fe6407e2459997d5f135e8a88892a049,flat_leaf,0,1,,['men']
interaction,gpt-oss-120b,hier,fe6407e2459997d5f135e8a88892a049,header_path,0,1,,['men']
interaction,gpt-oss-120b,hier,03e2e33b61115022766eba43568f2a2d,flat_values,0,1,,['264.0']
interaction,gpt-oss-120b,hier,03e2e33b61115022766eba43568f2a2d,flat_leaf,0,1,,['264.0']
interaction,gpt-oss-120b,hier,03e2e33b61115022766eba43568f2a2d,header_path,1,1,264,['264.0']
interaction,gpt-oss-120b,hier,76958999926314d82b80a5b39f21ed76,flat_values,0,1,,['83.0']
interaction,gpt-oss-120b,hier,76958999926314d82b80a5b39f21ed76,flat_leaf,0,1,,['83.0']
interaction,gpt-oss-120b,hier,76958999926314d82b80a5b39f21ed76,header_path,0,1,N/A,['83.0']
interaction,gpt-oss-120b,hier,76863f9b68412109d717820bb24dc71a,flat_values,0,1,,['filipino']
interaction,gpt-oss-120b,hier,76863f9b68412109d717820bb24dc71a,flat_leaf,0,1,filipina women,['filipino']
interaction,gpt-oss-120b,hier,76863f9b68412109d717820bb24dc71a,header_path,0,1,filipina,['filipino']
interaction,gpt-oss-120b,hier,8d3373fa0c42ed9d0fa3af23548d1e28,flat_values,0,1,,['25.3']
interaction,gpt-oss-120b,hier,8d3373fa0c42ed9d0fa3af23548d1e28,flat_leaf,1,1,25.3%,['25.3']
interaction,gpt-oss-120b,hier,8d3373fa0c42ed9d0fa3af23548d1e28,header_path,1,1,25.3,['25.3']
interaction,gpt-oss-120b,hier,7615f60fffd339c61c4b9181ccaeeadd,flat_values,0,1,,['other services']
interaction,gpt-oss-120b,hier,7615f60fffd339c61c4b9181ccaeeadd,flat_leaf,0,1,,['other services']
interaction,gpt-oss-120b,hier,7615f60fffd339c61c4b9181ccaeeadd,header_path,0,1,,['other services']
interaction,gpt-oss-120b,hier,2b46cca80468a08a89b4679e726b92be,flat_values,0,1,,['39.6']
interaction,gpt-oss-120b,hier,2b46cca80468a08a89b4679e726b92be,flat_leaf,0,1,,['39.6']
interaction,gpt-oss-120b,hier,2b46cca80468a08a89b4679e726b92be,header_path,0,1,,['39.6']
interaction,gpt-oss-120b,hier,c81134db64a98f22e28cddfb7de0a1a5,flat_values,1,1,641,['641.0']
interaction,gpt-oss-120b,hier,c81134db64a98f22e28cddfb7de0a1a5,flat_leaf,0,1,,['641.0']
interaction,gpt-oss-120b,hier,c81134db64a98f22e28cddfb7de0a1a5,header_path,0,1,,['641.0']
interaction,gpt-oss-120b,hier,c486681bfdc34de8cf73363a0e33bc8a,flat_values,0,1,,['1426352.0']
interaction,gpt-oss-120b,hier,c486681bfdc34de8cf73363a0e33bc8a,flat_leaf,0,1,,['1426352.0']
interaction,gpt-oss-120b,hier,c486681bfdc34de8cf73363a0e33bc8a,header_path,0,1,,['1426352.0']
interaction,gpt-oss-120b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,flat_values,1,1,14.29,['14.29']
interaction,gpt-oss-120b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,flat_leaf,0,1,3:43.62,['14.29']
interaction,gpt-oss-120b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,header_path,1,1,14.29,['14.29']
interaction,gpt-oss-120b,hier,47d85b7882f9f3eaa0ef0096a5468423,flat_values,0,1,,['3.0']
interaction,gpt-oss-120b,hier,47d85b7882f9f3eaa0ef0096a5468423,flat_leaf,1,1,3,['3.0']
interaction,gpt-oss-120b,hier,47d85b7882f9f3eaa0ef0096a5468423,header_path,1,1,3,['3.0']
interaction,gpt-oss-120b,hier,da4ddf61de0f34ee83b7829102ffe6d9,flat_values,0,1,,['15 to 19']
interaction,gpt-oss-120b,hier,da4ddf61de0f34ee83b7829102ffe6d9,flat_leaf,0,1,,['15 to 19']
interaction,gpt-oss-120b,hier,da4ddf61de0f34ee83b7829102ffe6d9,header_path,1,1,15 to 19,['15 to 19']
interaction,gpt-oss-120b,hier,9aacfbb741d62de704b6e88938389c40,flat_values,0,1,,['women']
interaction,gpt-oss-120b,hier,9aacfbb741d62de704b6e88938389c40,flat_leaf,1,1,women,['women']
interaction,gpt-oss-120b,hier,9aacfbb741d62de704b6e88938389c40,header_path,1,1,women,['women']
interaction,gpt-oss-120b,hier,1972155590794ace1ebadbc045332edb,flat_values,0,1,,['government-assisted refugees']
interaction,gpt-oss-120b,hier,1972155590794ace1ebadbc045332edb,flat_leaf,1,1,government-assisted refugees,['government-assisted refugees']
interaction,gpt-oss-120b,hier,1972155590794ace1ebadbc045332edb,header_path,1,1,government-assisted refugees,['government-assisted refugees']
interaction,gpt-oss-120b,hier,b490e86698ea52bec432fd2c062eded2,flat_values,0,1,,['14.4']
interaction,gpt-oss-120b,hier,b490e86698ea52bec432fd2c062eded2,flat_leaf,0,1,,['14.4']
interaction,gpt-oss-120b,hier,b490e86698ea52bec432fd2c062eded2,header_path,1,1,14.4,['14.4']
interaction,gpt-oss-120b,hier,a080b456f9a596237e7683fce6d819d9,flat_values,0,1,,['0.681511']
interaction,gpt-oss-120b,hier,a080b456f9a596237e7683fce6d819d9,flat_leaf,0,1,,['0.681511']
interaction,gpt-oss-120b,hier,a080b456f9a596237e7683fce6d819d9,header_path,0,1,,['0.681511']
interaction,gpt-oss-120b,hier,550428282b3a554a8ff831f7149e00bc,flat_values,0,1,,['128.0']
interaction,gpt-oss-120b,hier,550428282b3a554a8ff831f7149e00bc,flat_leaf,0,1,,['128.0']
interaction,gpt-oss-120b,hier,550428282b3a554a8ff831f7149e00bc,header_path,0,1,,['128.0']
interaction,gpt-oss-120b,hier,ae9c91e2b72da1948845d2b9c96be1f1,flat_values,0,1,4.1,['5.5']
interaction,gpt-oss-120b,hier,ae9c91e2b72da1948845d2b9c96be1f1,flat_leaf,0,1,,['5.5']
interaction,gpt-oss-120b,hier,ae9c91e2b72da1948845d2b9c96be1f1,header_path,0,1,,['5.5']
interaction,gpt-oss-120b,hier,26307595388ef79a529bd08519ff0fa2,flat_values,0,1,,['high school diploma']
interaction,gpt-oss-120b,hier,26307595388ef79a529bd08519ff0fa2,flat_leaf,1,1,high school diploma,['high school diploma']
interaction,gpt-oss-120b,hier,26307595388ef79a529bd08519ff0fa2,header_path,1,1,high school diploma,['high school diploma']
interaction,gpt-oss-120b,hier,2802b5a96c112c97d86cf16d30653006,flat_values,0,1,,['48.2']
interaction,gpt-oss-120b,hier,2802b5a96c112c97d86cf16d30653006,flat_leaf,0,1,,['48.2']
interaction,gpt-oss-120b,hier,2802b5a96c112c97d86cf16d30653006,header_path,0,1,,['48.2']
token_control,llama-8b,hier,fe6407e2459997d5f135e8a88892a049,flat_leaf,0,1,female,['men']
token_control,llama-8b,hier,fe6407e2459997d5f135e8a88892a049,header_path,1,1,men,['men']
token_control,llama-8b,hier,fe6407e2459997d5f135e8a88892a049,header_shuffle,1,1,women,['men']
token_control,llama-8b,hier,03e2e33b61115022766eba43568f2a2d,flat_leaf,0,1,2,['264.0']
token_control,llama-8b,hier,03e2e33b61115022766eba43568f2a2d,header_path,0,1,55,['264.0']
token_control,llama-8b,hier,03e2e33b61115022766eba43568f2a2d,header_shuffle,0,1,0,['264.0']
token_control,llama-8b,hier,76958999926314d82b80a5b39f21ed76,flat_leaf,0,1,13.5,['83.0']
token_control,llama-8b,hier,76958999926314d82b80a5b39f21ed76,header_path,0,1,25.7,['83.0']
token_control,llama-8b,hier,76958999926314d82b80a5b39f21ed76,header_shuffle,0,1,28.4,['83.0']
token_control,llama-8b,hier,76863f9b68412109d717820bb24dc71a,flat_leaf,0,1,82.0,['filipino']
token_control,llama-8b,hier,76863f9b68412109d717820bb24dc71a,header_path,0,1,81.7,['filipino']
token_control,llama-8b,hier,76863f9b68412109d717820bb24dc71a,header_shuffle,0,1,86.1,['filipino']
token_control,llama-8b,hier,8d3373fa0c42ed9d0fa3af23548d1e28,flat_leaf,0,1,59.0,['25.3']
token_control,llama-8b,hier,8d3373fa0c42ed9d0fa3af23548d1e28,header_path,1,1,25.3,['25.3']
token_control,llama-8b,hier,8d3373fa0c42ed9d0fa3af23548d1e28,header_shuffle,0,1,95.0,['25.3']
token_control,llama-8b,hier,7615f60fffd339c61c4b9181ccaeeadd,flat_leaf,0,1,health care and social assistance,['other services']
token_control,llama-8b,hier,7615f60fffd339c61c4b9181ccaeeadd,header_path,0,1,health care and social assistance,['other services']
token_control,llama-8b,hier,7615f60fffd339c61c4b9181ccaeeadd,header_shuffle,0,1,13.1,['other services']
token_control,llama-8b,hier,2b46cca80468a08a89b4679e726b92be,flat_leaf,0,1,22.3,['39.6']
token_control,llama-8b,hier,2b46cca80468a08a89b4679e726b92be,header_path,0,1,22.3,['39.6']
token_control,llama-8b,hier,2b46cca80468a08a89b4679e726b92be,header_shuffle,0,1,80.5,['39.6']
token_control,llama-8b,hier,c81134db64a98f22e28cddfb7de0a1a5,flat_leaf,0,1,611,['641.0']
token_control,llama-8b,hier,c81134db64a98f22e28cddfb7de0a1a5,header_path,1,1,641 + 224 + 49 + 48 + 92 + 35 + 38 + 130,['641.0']
token_control,llama-8b,hier,c81134db64a98f22e28cddfb7de0a1a5,header_shuffle,0,1,48.0 + 19.0 + 4.0 + 4.0 + 5.0 + 3.0 + 4.,['641.0']
token_control,llama-8b,hier,c486681bfdc34de8cf73363a0e33bc8a,flat_leaf,0,1,none,['1426352.0']
token_control,llama-8b,hier,c486681bfdc34de8cf73363a0e33bc8a,header_path,0,1,There is no information about the number,['1426352.0']
token_control,llama-8b,hier,c486681bfdc34de8cf73363a0e33bc8a,header_shuffle,0,1,There is no information about the number,['1426352.0']
token_control,llama-8b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,flat_leaf,0,1,3:43.62,['14.29']
token_control,llama-8b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,header_path,1,1,14.29,['14.29']
